User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BuyActive,buyactive,2020-04-30,altagas ltd altagas or the company tsx ala today reported first quarter 2020 financial results and provided an update on its operations and outlook inclusive of covid19 considerations,0.0,0.0,0.0
Colleen Pound,ColleenPound,2018-12-06,altagas ltd is hiring looking for 3 hrbp roles one with strong ad experience and a pensionbenefits analyst role please visit,0.0,0.0,0.0
ETF Screener & Stock Picker,ETFsStockPicker,2022-02-14,altagas ltd tseala expected to post fy2021 earnings of 170 per share mydigitradepro copy trader social trading platform forex signal providers start investing in the financial markets by easily copying trading strategy myrobot1 with average monthly income 5168 into your own brokerage account add this strategy to your portfolio and,0.0,0.0,0.0
Oil & Gas,ogpnews,2018-07-12,closes 9 billion acquisition of wgl,0.0,0.0,0.0
BC Gas Lobbying Bot,BCGasLobbyBot,2022-08-15,fossil fuel lobbying alert on fri july 8 2022 altagas ltd lobbied jennifer rice mla for north coast and ellis ross mla skeena 1 1,0.0,1.0,1.0
BC Gas Lobbying Bot,BCGasLobbyBot,2022-07-15,fossil fuel lobbying alert on wed june 8 2022 altagas ltd lobbied don dsouza and adria fradley 1 1 3,1.0,1.0,3.0
Oil & Gas,ogpnews,2019-03-22,founder and chair to step down after 25 years,0.0,0.0,0.0
DC Public Service Commission,DC_PSC,2017-12-14,hearings have concluded for the merger of altagas ltd and wgl holdings inc formal case no 1142 however public comments are still being accepted at or mail to dcpsc at 1325 g st nw suite 800 wdc 2005 1,0.0,0.0,1.0
Oil & Gas,ogpnews,2018-08-01,hold steady on 2018 objectives through second quarter,0.0,0.0,0.0
Energy Policy News,EnergyPOLNews,2018-09-10,inks deal to sell noncore midstream power generation assets for canadian 560 million assets in canada going to birch hill equity partners for 165 million power assets totalling 523 mw in california going to avenue capital subsidiary,0.0,0.0,0.0
Tim Derstine,TimDerstine,2021-03-11,is known for delivering value without extensive customization hear from altagas ltd and align technology on how they implemented out of the box and delivered on their promise to the business,0.0,0.0,0.0
Teresa Law,TeresaLaw7,2021-03-07,is known for delivering value without extensive customization hear from altagas ltd and align technology on how they implemented out of the box and delivered on their promise to the business 1,0.0,0.0,1.0
Travis Lee Darrow,TravisDarrow,2021-03-09,is known for delivering value without extensive customization hear from and on how they implemented out of the box and delivered on their promise to the business 1,0.0,0.0,1.0
Utility Dive,UtilityDive,2018-09-13,is selling 523 mw of gasfired plants to for 300 million,0.0,0.0,0.0
MoonX,MoonX555,2019-07-03,ltd a calgarybased and led gains this year returning 20 limiteds note due 2062 was the secondbest performer returning 188,0.0,0.0,0.0
CanadianShipper,CanadianShipper,2019-05-29,ltd celebrated the grand opening of its ridley island propane export terminal ripet located in prince rupertthe first marine export facility for propane in canada,0.0,0.0,0.0
Buy-Sell Adviser,BuySellAdviser,2022-05-03,ltd tsxala is a buy adviceforinvestorscom 2 top10 oil and gas stocks to buy canadian petroleum companies are wellpositioned for price hikes,0.0,0.0,0.0
JWN Energy,JWNenergy,2018-05-07,ltds proposed 46 billion buyout of wgl holdings inc took a step closer with a potential settlement in dc,0.0,0.0,0.0
Canada Energy Regulator,CER_REC,2019-04-08,publishes final audit reports for emera brunswick pipeline company ltd montreal pipe line limited and altagas,0.0,0.0,0.0
Energy Policy News,EnergyPOLNews,2018-08-27,signs deal with kelt exploration to developexpand townsend complex in liquidsrich montney play in bc the 180 million deal includes expansion of north pine fractionator to supply pipelines and ridley island propane export terminal,0.0,0.0,0.0
RWA New Brunswick,RWAworksNB,2018-01-25,turned pilot project into a full time position hiring inclusively with help from read the full story here for more info on and visit us,0.0,0.0,0.0
The Casual Smart,The_CasualSmart,2018-10-25,010 eps expected for altagas ltd ala,0.0,0.0,0.0
WhatsOnThorold,whatsonthorold2,2018-10-07,011 eps expected for altagas ltd ala,0.0,0.0,0.0
WhatsOnThorold,whatsonthorold2,2018-06-26,014 eps expected for altagas ltd ala stemline therapeutics stml has 179 sentiment,0.0,0.0,0.0
REurope,reurope_stock,2018-08-01,016 eps expected for altagas ltd ala,0.0,0.0,0.0
James Sikes,wosaikeneriki,2018-02-11,034 eps expected for altagas ltd al,0.0,0.0,0.0
James Sikes,wosaikeneriki,2018-04-04,037 eps expected for altagas ltd al,0.0,0.0,0.0
HiNewUlm,UlmHi,2019-01-30,053 eps expected for tpg specialty lending inc tslx altagas ltd ordinary shares canada atgff shorts raised by 452,0.0,0.0,0.0
