User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bjorn,TrademanFX,2020-05-02,1 trillion wealth fund expands us stakes amid rout bulking up on stocks that got hammered during marchs historic market decline acquired holdings of 5 or more in seven ustraded companies since midmarch,0.0,0.0,0.0
Rafael,Rafaelsteel,2021-09-22,10 65 21 bhp group 45 3738 rio tinto 46 9422 fortescue 49 1452,0.0,0.0,0.0
nakaba chimura,goviex,2022-09-27,10 vale bhp rio mining sep 27 2022 iron ore price rises as chinese steel mills resume ramping up output 1 39,0.0,1.0,39.0
Value World,xiscan1,2018-12-20,100 041 rise 2 308 losers 265 241 258 255 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0
Value World,xiscan1,2018-12-20,100 041 rise 2 losers 265 241 258 255 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0
Value World,xiscan1,2019-01-02,100 fall 1 fall more than 4 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-09-17,100 top fallers anglo american 365 rio tinto 269 bhp group 167 prudential 089 1,1.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-11-02,100 top fallers flutter entertainment 737 standard chartered 593 anglo american359 bhp group 324,0.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-07-28,100 top fallers hsbc holdings 193 bhp group 183 reckitt benckiser 132 croda international 106 1,0.0,0.0,1.0
UK Investor Magazine,UKInvestorMAG,2021-09-14,100 top fallers ocado 363 anglo american221 glencore 191 bhp group 190,0.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-05-14,100 top fallers rio tinto 276 antofagasta 237 bhp group 195 evraz 148,0.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-02-22,100 top risers antofagasta holdings 340 evraz plc 266 bhp group 193 glencore 177,0.0,0.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-07-14,100 top risers natwest group 084 lloyds banking 032 glencore 018 bhp group 018 1,0.0,1.0,0.0
UK Investor Magazine,UKInvestorMAG,2021-12-14,100 top risers ocado group 723 rentokil initial 400 bhp group 212 anglo american167,0.0,0.0,0.0
ひなた,bhp_itk,2022-09-27,1029the shes gone,0.0,0.0,0.0
AME Research,The_AMEGroup,2020-10-20,11953t039 bhp group produced 74mt of iron ore in the three months ended september up 72 from the same period last year supported by robust demand from china,0.0,0.0,0.0
eToro Arabic,eToroAr,2019-05-24,12 novartis ag 345 roche 325 shell 592 att 659 siemens 362 microsoft 149 exxon mobil 433 bhp group 446 2 4,0.0,2.0,4.0
RealStockHome,Realstockhome,2021-10-12,1410 bluechip ftse 100 1 rio tinto nyse rio anglo american lon aal bhp group nyse bhp 12 23 metl 1,1.0,0.0,0.0
11Graphs,11Graphs,2020-04-16,19 most profitable by ebitda margin 1 nextera energy nee 550 2 union pacific unp 507 3 bhp group bhp 502 4 texas instruments txn 483 5 broadcom avgo 434 1 1 4,1.0,1.0,4.0
Russell Blackston,rblackstonbhp,2022-09-29,2023 safety the best is yet to come dillon gibert sep 28 2022 replying to 1 3,0.0,1.0,3.0
Trading.com UK,tradingdotcomuk,2021-04-12,22 amid threat to operations joint venture filed for judicial reorganisation a last resort to protect itself from creditors amid multiple legal cases by lenders rw8266 of retail clients lose money,0.0,0.0,0.0
11Graphs,11Graphs,2020-04-16,39 less indebted by net debt to ebitda 1 accenture acn 07x 2 gilead sciences gild 0x 3 texas instruments txn 01x 4 qualcomm qcom 05x 5 bhp group bhp 05x 1 1 3,1.0,1.0,3.0
Jane Morgan Management,JMM_Australia,2022-04-05,3d modelling of a significant bullseye anomaly identifies potential iocg target at a depth of approx 140170m below surface with drilling to commence magnetic characteristics similar to major iocg deposit bhp group limiteds olympic dam,0.0,0.0,0.0
11Graphs,11Graphs,2020-04-16,49 highest yield 1 total tot 826 2 bhp group bhp 644 3 petrochina ptr 620 4 philip morris international pm 606 5 abbvie abbv 575 1 1 2,1.0,1.0,2.0
OC MALL - Outdoors & Sports shopping mall,ocmall_com,2022-09-28,5125mm bush hammer plate with 3 rollers for lichi surface joybhp5bh1,0.0,0.0,0.0
The Stig,Q8Stig,2022-09-29,657 bhp 850 nm 0100 35 seconds top speed 305kmh 1 5,1.0,0.0,5.0
11Graphs,11Graphs,2020-04-16,69 best growth by 5 years earnings growth 1 bhp group bhp 1033 2 tmobile us tmus 488 3 broadcom avgo 306 4 abbvie abbv 219 5 texas instruments txn 203 1 1 1,1.0,1.0,1.0
11Graphs,11Graphs,2020-04-16,79 least expensive by ev to ebitda 1 bhp group bhp 50x 2 total tot 62x 3 ab inbev bud 88x 4 ibm ibm 91x 5 qualcomm qcom 92x 1 1 1,1.0,1.0,1.0
Charles Stanley Wealth Managers,_CharlesStanley,2019-07-15,a mining sector correction may be coming uklisted miners are on a tear shares are up 40 this year group is up 27 and 26 click here to read the full article,0.0,0.0,0.0
TheBrummieInvestor,BrummieInvestor,2021-08-17,a new bhp group plc dividend has been announced,0.0,0.0,0.0
Mark McSherry,MarkMcSherryNY,2022-09-22,abrdns 1bn murray income trust ups dividend despite lagging nav scottish financial review 3,0.0,3.0,0.0
,PippaBaker14,2022-09-28,account is temporarily unavailable because it violates the twitter media policy more,0.0,0.0,0.0
The Union Journal,theunionjournal,2021-09-14,active condition now bhp group bhp bhp group bhp exchanged 88771 shares on hands in most recent trading session and observed an average volume with 244883k shares the stock acknowledged active focus on shares in the current,0.0,0.0,0.0
BHP Group,BHPGroup,2020-03-10,allergen awareness we offer an online training course that will teach you about various allergies intolerances the triggers associated with these along with steps to take to reduce the risk from allergens more info 1,0.0,0.0,1.0
Vikash Supersad,vikashsupersad,2021-11-22,and group gave their final goaheads to spend 12 billion to develop the field off western and expand the liquefied plant with the first cargo expected in 2026 1,0.0,0.0,1.0
Gas Compression Mag,GasCompressionM,2021-09-23,and group have entered into a merger agreement that will combine their oil and gas portfolios to create a global independent energy company read more here 2 1,2.0,1.0,0.0
Fluid Handling International,FluidHandIntl,2021-11-25,and have agreed the merger of bhps oil and gas portfolio with woodside,0.0,0.0,0.0
AustralianManufacturingForum,AuManufacturing,2021-08-25,and miller technology are supplying battery electric vehicles and chargers to a bhp mitsubishi alliance mine in queensland in support of groups netzero emissions by 2050 goal aumanufacturingcomau bhp looks to tritium in decarbonisation push australian manufacturing forum tritium and miller technology are supplying battery electric vehicles and chargers to a bhp mitsubishi alliance mine in queensland in support of bhp groups netzero emissions by 2050 goal 1 3,0.0,1.0,3.0
BHP Group,BHPGroup,2022-03-28,and of plant and equipment is vital as is your record keeping constructionenquirercom dumper truck careers off site across busy aroad court hears how plant hire firm failed to regularly maintain brakes 1 1,0.0,1.0,1.0
Sydney @Habitat 4 Wildlife Conservation,Sydney Habitat 4 Wildlife Conservation,2021-10-05,as many of you that have been following me know we are working on copper projects in the drc and zambia but yesterdays news is just read the bhp group is in talks about buying into a copper project in linkedincom sydney kloppers on linkedin as many of you that have been following me know we are working on copper projects in the drc and zambia but yesterdays news is just 1,0.0,0.0,1.0
Jenkers News (ENG),jenkers_en,2020-08-06,associates 12366 shares of bhp group ltd nysebhp,0.0,0.0,0.0
Kalkine Media Australia,kalkineau,2021-09-02,asx bhp shared on 17 august 2021 that it will be paying a final of au271 per 2,0.0,0.0,2.0
CMC Markets AusNZ,CMCMarketsAusNZ,2022-06-01,asx news bhp sp cuts bhp group rating to a from a after wds merger mainly due to reduced diversification and meaningful reliance in the coming years on its iron ore division,0.0,0.0,0.0
Bradley Leather,bradgt247,2019-06-13,at all time highs as rally bloggt247com bhp group at all time highs as resources rally asian markets were weaker for a second successive day as the nikkei retreated 046 whilst the shanghai composite was 015 lower on the day 1,0.0,0.0,1.0
CoalMint,coalmint,2022-09-28,australia concludes deal at 265t fob for oct laycan get updates on send your interest to join our whatsapp group by clicking the link,0.0,0.0,0.0
CoalMint,coalmint,2022-09-28,australia concludes deal at 265t fob for oct laycan get updates on send your interest to join our whatsapp group by clicking the link 1,0.0,0.0,1.0
bit.trail,roccodallas,2020-06-29,australian mining giant trials blockchain completes 14 million iron ore transaction to china,0.0,0.0,0.0
"Bitcoin, Forex & Stock Market Headline News",BTCTradeIdeas,2019-10-22,australian shares advance following overnight gains on wall street,0.0,0.0,0.0
Vernes Mujic,vernesm,2019-01-29,australias bhp group says no agreement reached on samarco debt,0.0,0.0,0.0
Satta Matka,SattaMa21109058,2019-01-29,australias bhp group says no agreement reached on samarco debt global miner bhp group said on tuesday that no agreement has been reached,0.0,0.0,0.0
Real News Hub,realnewshubs,2021-08-17,automatedbhp group bets on lowercarbon world with petroleum exit,0.0,0.0,0.0
Dam News,damnews_en,2022-07-08,automatedbhp group considering appeal to ruling over samarco dam failure marketwatch,0.0,0.0,0.0
Royal Newsfeed,RoyalNewsfeed,2022-08-16,automatedbhp group shares rise as higher coal prices boost fy22 profits nasdaqcom bhp group shares rise as higher coal prices boost fy22 profits,0.0,0.0,0.0
Dam News,damnews_en,2019-05-08,automatedbhp group to defend us5bn lawsuit relating to 2015 tailings dam failure in brazil proactive investors uk,0.0,0.0,0.0
Dam News,damnews_en,2020-07-15,automatedbhp group to face the first step of trial over brazilian dam failure kalkine media,0.0,0.0,0.0
King Tri-Zi,KingTriZi,2021-09-14,automatedbhp handing unexpectedly small 39 billion cleanup tab to woodside in oil merger by sonali paul melbourne reuters bhp group will transfer a smallerthanexpected 39 billion in oil and gas decommissioning liabilities to woodside when it merges its petroleum business,0.0,0.0,0.0
King Tri-Zi,KingTriZi,2021-09-08,automatedbhp signs partnership deal with billionairebacked ai explorer kobold melbourne reuters bhp group will team up with billionairebacked ai exploration firm kobold metals to look for battery minerals like copper and nickel in australia and other,0.0,0.0,0.0
Moneyweb News,Moneyweb,2021-06-12,averted a strike at its secondlargest copper mine in chile after workers at the spence operation accepted a final offer on the last day of mediated talks moneywebcoza bhp dodges chile copper strike with eleventhhour wage deal the deal will ease concerns over a potential stoppage that would have further tightened global supplies of the metal 1 1 2,1.0,1.0,2.0
ETF Screener & Stock Picker,ETFsStockPicker,2022-01-15,barclays boosts bhp group lonbhp price target to gbx 2350,0.0,0.0,0.0
TradeFlags,TradeFlags,2020-02-29,bbl at 3630 r18 hilo 4 t1y 41 hold 30 pe 98 div 685 group,0.0,0.0,0.0
TradeFlags,TradeFlags,2019-02-27,bbl at 4796 r8 hilo 98 t1y 53 buy pe 234 div 463 group,0.0,0.0,0.0
Русская планета,rusplt,2021-09-14,bhp 2050 bhp group 2050,0.0,0.0,0.0
TradeFlags,TradeFlags,2020-03-06,bhp at 440 r12 hilo 11 t1y 44 hold 32 pe 116 div 592 group,0.0,0.0,0.0
Ex Dividend Date,ExDividendDate,2022-02-15,bhp bhp group ex dividend date 24022022 payment date 28032022 amount 1500 more info,0.0,0.0,0.0
Millionaur,millionaur,2022-02-24,bhp bhp group ltd adr pe 119 10 copper nickel silver siede siemens aktiengesellschaft pe 2116 3 castst castellum ab pe 65 4,0.0,0.0,0.0
TradingView Aus,au_tradingview,2019-03-30,bhp bhp group will it break through old resistance area tradingview tradingviewcom bhp bhp group will it break through old resistance area for asxbhp by zangus bhp will it break through old resistance area bhp has been having such a good run of late i thought i would have a look at much longer time lines and you can see it is entering this really,0.0,0.0,0.0
Azeem Sheriff,Azeem__Sheriff,2022-09-27,bhp bhp ltd chilean regulatory uncertainties are easing bhps udd says notes more moderated chile constitution conversations explores options to keep mining cerro colorado after 2023 bbg azeem sheriff sep 28 2022 bhp bhp ltd announces early redemption of sterling hybrid notes redemption aligns with strategy strong liquidity position notes to be redeemed on oct 22 notes included were prices in oct 15 due in 2077 bbg 1 2,0.0,1.0,2.0
Hick,hickgrahamTH,2022-01-18,bhp bloomberg after sitting dormant for more than a decade bhp group once minings most aggressive dealmaker is positioning itself for a return to larg,0.0,0.0,0.0
まさきち@いんべすたぁ自己中心派,まさきちいんべすたぁ自己中心派,2022-09-28,bhp copper production to show strong and consistent growth for next decade miningcom copper production to show strong and consistent growth for next decade new report by fitch solutions forecasts over 7 million tonnes will be added to global copper production through 2031 as a raft of projects in chile peru and congo come online 1 8,1.0,0.0,8.0
