User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
セルディト,stockinfo2110,2022-02-09,00 1 enphase energy inc 2 omnicom group inc 3 fmc corp 4 chipotle mexican grill inc 1 cvs health corp 2 incyte corp 3 nortonlifelock inc 4 amgen inc 2,0.0,0.0,2.0
セルディト,stockinfo2110,2021-11-03,00 1 fmc corp 2 gap inc 3 tmobile us inc 4 tapestry inc 1 activision blizzard inc 2 charles river laboratories international inc 3 paycom software inc 4 teleflex inc,0.0,0.0,0.0
セルディト,stockinfo2110,2021-11-03,0400 1 fmc corp 2 akamai technologies inc 3 gap inc 4 tmobile us inc 1 activision blizzard inc 2 charles river laboratories international inc 3 paycom software inc 4 teleflex inc,0.0,0.0,0.0
セルディト,stockinfo2110,2022-05-03,0400 1 western digital corp 2 monolithic power systems inc 3 catalent inc 4 devon energy corp 1 rockwell automation inc 2 expedia group inc 3 fmc corp 4 estee lauder cos cl a 1,0.0,0.0,1.0
FMC Corporation,FMCCorp,2018-11-28,18 was a success thanks for having us for more information on fmcs freedom pass program please go to indiana soy farmers nov 27 2018 jennifer maruszewski with discusses the new freedom pass program thank you for being todays key sponsor 1 3,0.0,1.0,3.0
Meenal Deshpande,MeenalDeshpan13,2021-09-01,2012 2022 download sample report key players,0.0,0.0,0.0
Raghuraj Panchabhai,RaghurajPa,2021-01-21,20122022 sample copy key players monsanto,0.0,0.0,0.0
Uttam Sharma,uttamsharma1414,2017-12-23,2017 industry growth projections in key product segments,0.0,0.0,0.0
FMC Corporation,FMCCorp,2018-01-09,2018 is kicking off today just in time for to show our support we will offer complimentary shuttle service details here 1,0.0,1.0,0.0
"US EPA - NJ,NY,PR,VI",EPAregion2,2021-01-11,2020 marked the 3rd year in a row that epa has deleted a historically high number of sites from the superfund npl in region 2 fmc corp dublin road landfill and hormigas groundwater plume were among the 27 sites deleted nationwide 1,0.0,0.0,1.0
FMC Corporation,FMCCorp,2019-05-04,739 166 viewers fmc corporation 7,0.0,0.0,7.0
CropLife Europe,CropLifeEU,2020-10-22,a 1st for ecpa thx can be a global leader a science grounded policy framework will help achieve it 6 16,0.0,6.0,16.0
CropLife International,CropLifeIntl,2020-09-24,a 1st for ecpa thx the eu can be a global leader in a policy framework grounded in science will help achieve it 1 3 8,1.0,3.0,8.0
CropLife International,CropLifeIntl,2020-12-11,a 1st for ecpa thx the eu can be a global leader in a policy framework grounded in science will help achieve it 3 8,0.0,3.0,8.0
CropLife International,CropLifeIntl,2020-10-28,a 1st for ecpa thx the eu can be a global leader in a policy framework grounded in science will help achieve it 6 15,0.0,6.0,15.0
SynBioBeta,SynBioBeta,2020-08-20,a biomanufacturing company at the forefront of synthetic biology announced a new partnership with agricultural sciences company to build the best and fastest pipeline for bringing new natural products to growers 6 13,0.0,6.0,13.0
ET HRWorld,ETHrWorld,2022-03-24,a global agricultural sciences company on thursday announced the appointment of satender k sighadia as its human resource head effective april 1 hreconomictimesindiatimescom fmc india appoints satender k sighadia as hr head hr news ethrworld sighadia has extensive experience of 21 years in the industry and has been with fmc for nine years,0.0,0.0,0.0
GESDA.global #ScienceDiplomacy #SciDiplo,GESDAglobal,2021-04-19,a leading company is using to try to create more resilient axioscom bioengineering stronger crops that can survive extreme weather researchers are using synthetic biology to tackle a range of problems in agriculture 1,0.0,0.0,1.0
