User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Earnings Call Summaries by Aiera,AieraAlerts,2021-09-10,amzn amazons mentioned during international paper sylvamo corp a subsidiary of international paper co to host virtual investor day event,0.0,0.0,0.0,Bullish,neutral
Cindicator,Cindicator,2019-11-26,analysts are watching these 5 today bhp group bbl nucor corporation nue ppg industries ppg international paper co ip newmont mining corporation nem make your forecast and win part of 75k 3 9,0.0,3.0,9.0,Bullish,neutral
IEMBot JAN,iembot_jan,2022-04-13,automatedat 440 pm cdt 5 nw oak ridge warren co ms broadcast media reports tstm wnd dmg trees were blown down near the international paper plant along ms highway 3 mesonetagroniastateedu iem local storm report app iowa environmental mesonet of iowa state university,0.0,0.0,0.0,Bullish,negative
South King County Fire Dispatches,SKCFDispatches,2021-10-22,automateddispatch medical aid basic life support international paper co 1225 6th ave n kent responding dept kent units e376,0.0,0.0,0.0,Bullish,neutral
Andri Ete,andri000me_40,2018-04-26,automatedinternational paper co 2018 q1 results earnings call slides,0.0,0.0,0.0,Bullish,neutral
Hillsborough County Fire Rescue,HillsFireRescue,2019-03-29,battled a blaze at the international paper co plant 6706 n 53rd st early this morning due to the large size of the facility and number of pallets of paper products on fire we called a 2nd alarm and quickly extinguished the blaze no injuries cause under investigation 3 20,0.0,3.0,20.0,Bullish,neutral
stephen labadie,labadie10,2018-01-11,been trying to get work whole foods as a retired executive to have something to do and like customers no luck or closeness with management retired from international paper co would love to speak with you about recycle also 12 years with jetblue airway steve 1,0.0,0.0,1.0,Bearish,neutral
Ryan French FOX 13,RyanFrenchFox13,2019-03-29,co fire rescue responded to a 2alarm fire at international paper on north 53rd street in officials say pallets of paper caught fire which was kept in check by the sprinkler system no one was hurt and the cause is under investigation,0.0,0.0,0.0,Bullish,negative
Denver Jobs Work,DenverJobsWork,2018-08-16,corrugator stacker international paper wheat ridge co,0.0,0.0,0.0,Bullish,neutral
Bob Junior,BFD_Bull3005,2022-03-31,i tried sending you an email but couldnt since i dont live in your district since i only count if i live in your district and you are still taking contributions from international paper co you clearly dont need to continue to solicit any donations from me,0.0,0.0,0.0,Bullish,neutral
Kirk Matoushek,KirkMatoushek,2021-03-16,international paper a fortune 500 co is now doing full tv ads because they cant find people who want to work start at 20hr with healthcare and matching 401 k meanwhile tsekovas of the journalism world are posting their upteenth on struggling americans,0.0,0.0,0.0,Bearish,neutral
Chris Chester,weatherherk1,2020-06-23,international paper co investigating after noose found at escambia county mill weartvcom international paper co investigating after alleged noose found at escambia county mill pensacola fla wear international paper company is investigating after an alleged noose was found on its escambia county property monday wear channel 3 confirmed the incident around 11 a m,0.0,0.0,0.0,Bullish,negative
Kevin Olivas,KevinOlivasMedi,2020-06-23,international paper co investigating after noose found at mill in escambia county florida weartvcom international paper co investigating after alleged noose found at escambia county mill pensacola fla wear international paper company is investigating after an alleged noose was found on its escambia county property monday wear channel 3 confirmed the incident around 11 a m,0.0,0.0,0.0,Bullish,neutral
intratio,intratio,2021-12-22,international paper co our advanced model assessed the market value of this company is in line with its fundamentals in the short term and is neither a long or short opportunity in the longer term ip intratiocom ip stock forecast stock prediction in jan 2023 for international paper co we are the leader in uslisted stock price forecast our algorithm forecasts the stock price of international paper co with the highest accuracy in the market intratio forecasts every day all,0.0,0.0,0.0,Bearish,neutral
intratio,intratio,2021-11-19,international paper co our advanced model lets us believe the market value of this company has a neutral short term outlook and has no clear long term directional perspective ip intratiocom ip stock forecast stock prediction in jan 2023 for international paper co we are the leader in uslisted stock price forecast our algorithm forecasts the stock price of international paper co with the highest accuracy in the market intratio forecasts every day all,0.0,0.0,0.0,Bearish,neutral
intratio,intratio,2022-03-27,international paper co our ai calculated this equity value has an undetermined short term setup and has a neutral long term price outlook ip intratiocom ip stock forecast stock prediction in jan 2023 for international paper co we are the leader in uslisted stock price forecast our algorithm forecasts the stock price of international paper co with the highest accuracy in the market intratio forecasts every day all,0.0,0.0,0.0,Bearish,neutral
Piri Ikkita,IkkitaPiri,2022-09-14,international paper co shares approach 52week low market mover ip kwhencom kwhen international paper co shares approach 52week low market mover the shares closed 01 above its 52week low of 3964 with trading volume lower than its 30 day average,0.0,0.0,0.0,Bearish,negative
intratio,intratio,2021-12-20,international paper co the statistical model is predicting that this companie s stock price value is in line with its fundamentals in the short term and has no clear long term directional perspective ip intratiocom ip stock forecast stock prediction in jan 2023 for international paper co we are the leader in uslisted stock price forecast our algorithm forecasts the stock price of international paper co with the highest accuracy in the market intratio forecasts every day all,0.0,0.0,0.0,Bearish,neutral
Sanjay Kulkarni,reachsanjayk,2019-05-29,investigation needed international paper india ipap in bought a sick loss making indian paper co for 272mn cleaned the bal sheet turned it profitable sold it at 81 mn fishy and bizarre 1,0.0,0.0,1.0,Bullish,neutral
FormWhispers,formwhisperscom,2022-08-17,ip goughnour holly g vice president controller of international paper co new sold 2155 shares on 20220816,0.0,0.0,0.0,Bullish,neutral
FormWhispers,formwhisperscom,2022-05-18,ip hamic william thomas senior vice president of international paper co new sold 3630 shares on 20220516,0.0,0.0,0.0,Bullish,neutral
FormWhispers,formwhisperscom,2021-08-11,ip lewis clinton a jr director of international paper co new sold 11 shares on 20210809,0.0,0.0,0.0,Bullish,neutral
