User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
meenu,meenu721812551,2022-08-17,2021 2028 get free sample key players grandviewresearchcom corrugated board market size share growth report 2030 the global corrugated board market size was valued at usd 1347 billion in 2022 and is expected to expand at a compound annual growth rate cagr of 68 from 2023 to 2030,0.0,0.0,0.0,Bearish,positive
The Voice of Fashion,thevofashion,2018-12-29,a lowdown on big sales new policies and jewellery and textile sector updates which include s partnership with treeto textile the indian ministry of textiles new mandate to reduce the tax rate of kashmiri handicrafts and more,0.0,0.0,0.0,Bearish,positive
Ignite Sweden,IgniteSweden,2019-10-08,a new matchmaking has just begun at this one its quite an international one with companies from brazil suzano germany meeting our fantastic swedish startups other corporates participating amp stina lantz 2 5,0.0,2.0,5.0,Bullish,neutral
ENP group,GroupENP,2022-02-02,accelerates growth in formed fiber by expanding its production capacity in europe on paperfirst app 018 9 views,0.0,0.0,0.0,Bullish,positive
FlexoGlobal,flexoglobal,2018-05-25,accelerates growth in renewable materials by cooperating with the startup 1,0.0,1.0,0.0,Bearish,positive
Snehal B Jadhav,SnehaljadhavB,2020-02-26,according to a report by gmi the global is expected to cross usd 1 billion business by 2024 key players are,0.0,0.0,0.0,Bullish,positive
GoodNewsfromFinland,goodnewsfinland,2022-09-08,acquires dutch company de jong packaging to accelerate growth in renewable corrugated packaging the deal fits in with the firms strategy to build market share in renewable packaging in europe via packagingnewscouk de jong packaging sold to stora enso in 1bn deal stora enso has boosted its presence in the european corrugated market with the acquisition of de jong packaging group in a deal worth 1bn 3,0.0,0.0,3.0,Bullish,positive
Krista Tukiainen,kristahelmi,2018-02-15,alarmingly found only 320 of worlds largest paper cos to be on track to meet 2degree target im glad to see finnish firms among the few currently pulling their weight yet much more needs to be done grantham lse feb 14 2018 only 3 of the worldss top paper companies appear on track for the transition to a lowcarbon economy,0.0,0.0,0.0,Bearish,positive
ᴩᴏ ᴩʀᴏꜱᴛᴜ ꜱᴩᴏʀᴛ,Po_prostu_sport,2019-03-03,already after in vienna the last tweet from austria daily news impressions startlists and results thank you,0.0,0.0,0.0,Bullish,neutral
Interplas Insights,interplas_news,2021-07-21,and aim to triple recycling capacity of beverage cartons in poland 1 1,0.0,1.0,1.0,Bullish,positive
Bioeconomy Finland,BioeconomyFI,2019-12-11,and bring the sustainable straw to the market with several customers signed up 1 5,0.0,1.0,5.0,Bullish,positive
Il Bioeconomista,bioeconomista,2018-09-06,and bring to the market kitchen utensils made from a new ilbioeconomistacom stora enso and orthex bring to the market kitchen utensils made from a new biocomposite stora enso and the leading nordic producer of household products orthex bring to the market a new range of kitchen utensils made from a new biocomposite which combines the best qualities of wood an 3,0.0,3.0,0.0,Bullish,positive
SIANI,SIANIAgri,2019-12-13,and can catalyze inclusive prosperity for all but it will require transformative action across different scales where to start what to spend the money on find out cc sianise 4 priority areas for sustainable agriculture and food security food and agriculture can catalyse inclusive prosperity for all but it will require transformative action across different scales where to start 2 10,0.0,2.0,10.0,Bearish,neutral
21Food Online Expo,21food_online,2022-09-20,and collaborate on new paper initiative,0.0,0.0,0.0,Bullish,neutral
Pablo Lee,PabloLeeGT,2018-12-04,and continue to combat the problem of by launching a demo for sustainable drinking at slush 2018,0.0,0.0,0.0,Bearish,positive
ENP group,GroupENP,2019-09-16,and fiskeby show the way to circular bioeconomy recycling trials prove that paper cups made from renewable fibre can be recycled on paperfirst app gif,0.0,0.0,0.0,Bullish,positive
World Bio Market Insights,Bio_Markets,2019-09-26,and fiskeby team up to help turn used paper cups into whitelined chipboard papercupsintowhitelinedchipboard 1,0.0,0.0,1.0,Bullish,neutral
Bioeconomy Finland,BioeconomyFI,2021-04-28,and give a great example how to connect and by turning process water generated by stora ensos paper mill into liquefied biogas lbg the plant will be able to produce renewable fuel gasum global apr 27 2021 our biogas plant in nymlla has now been inaugurated the first liquefied produced from the wastewater of paper mill will soon be delivered take a tour in the biogas plant of the future 1 6,0.0,1.0,6.0,Bullish,neutral
Eva-Maria Ekstrand,ekstrand_eva,2021-04-29,and has started producing at the nymlla mill treating the wastewater by with the potential of producing up to 80 gwh of liquid biogas per year great news bioenergy insight apr 27 2021 gasum open nymlla biogas plant 1,0.0,0.0,1.0,Bearish,neutral
E&M Combustion,emcombustion,2022-02-25,and has today announced the signing of a letter of intent on a purchase of the kvarnsveden mill and the surrounding industrial area in borlnge sweden to transform closed in sweden into new gigafactory northvoltcom northvolt to transform closed paper mill into gigafactory the gigafactory will utilize 100 clean energy to produce up to 100 gwh of cathode material to enable cell assembly at multiple northvolt facilities 1,0.0,0.0,1.0,Bullish,positive
ENP group,GroupENP,2020-07-23,and helsinki olympic stadium partner up to promote circular economy solutions on paperfirst app 1,0.0,0.0,1.0,Bullish,positive
Mikko Nousiainen,MikkoNo,2020-11-26,and is really important driver for our sector says roy antink he also presented s new office worldgbc europe and 3 others 2 3,0.0,2.0,3.0,Bullish,neutral
Sabine Slaughter,SASlaugh,2019-11-13,and join forces to bring sustainable automated new retail solutions to market,0.0,0.0,0.0,Bearish,positive
Interplas Insights,interplas_news,2019-12-11,and market sustainable straws 2,0.0,0.0,2.0,Bullish,neutral
ENP group,GroupENP,2019-11-20,and member companies launch 4evergreen an alliance to promote fiberbased packaging in circular economy on paperfirst app 2,0.0,0.0,2.0,Bullish,positive
Michael Allen Brady,bradyforests,2018-01-29,and others support the lao planted forest producers group and its new chair peter fogde of 1 3 3,1.0,3.0,3.0,Bearish,neutral
Juha Häkämies,jhakamies,2018-10-09,and oy are building a plant at stora ensos nymlla paper mill in the plant will turn the mills effluent into renewable 2,0.0,0.0,2.0,Bullish,neutral
Mike Millikin,GreenCarCongres,2022-07-27,and partner to develop material from wood greencarcongresscom stora enso and northvolt partner to develop anode material from wood stora enso and northvolt have entered into a joint development agreement to create a sustainable battery featuring anode produced using ligninbased hard carbon produced from nordic forest wood the,0.0,0.0,0.0,Bullish,positive
ENP group,GroupENP,2018-12-04,and startup sulapac have joined forces to develop renewable and biodegradable straws on paperfirst app,0.0,0.0,0.0,Bullish,positive
FLAAR-REPORTS,FLAAR_REPORTS,2018-12-04,and startup will work together to develop renewable and biodegradable straws,0.0,0.0,0.0,Bullish,positive
Bioeconomy Finland,BioeconomyFI,2021-05-06,and the swedish road and infrastructure operator are testing lignin in asphalt on swedish roads is used as the binding agent and can replace up to one half of the oilbased bitumen in asphalt forestfi woodbased asphalt tested on roads in sweden forestfi stora enso and the swedish road and infrastructure operator svevia are testing lignin in asphalt on swedish roads lignin is used as the binding agent and can replace up to one half of the oilbased 2 5,0.0,2.0,5.0,Bullish,neutral
Manufacturing Digital,ManufacturingDg,2019-12-11,and unveil 100 microplastic free straw 2,0.0,0.0,2.0,Bullish,neutral
ENP group,GroupENP,2021-08-18,and vogue scandinavia win the prestigious red dot design award for magazine packaging concept on paperfirst app,0.0,0.0,0.0,Bearish,positive
Windpower Engineering & Development,Windpower_Eng,2022-05-25,and wood technology company are partnering on wooden towers the collaborations purpose is to demonstrate the vast possibilities in using wood in demanding constructions windpowerengineeringcom stora enso modvion partner on wooden wind turbine towers stora enso and wood technology company modvion are partnering on wooden wind turbine towers the collaborations purpose is to demonstrate the vast 1,0.0,1.0,0.0,Bullish,neutral
ENP group,GroupENP,2021-10-08,announces startup of new pom approach flow system at stora enso oulu on paperfirst app 1,0.0,0.0,1.0,Bearish,neutral
ENP group,GroupENP,2019-09-25,appoints annica bresky as president and chief executive officer on paperfirst app,0.0,0.0,0.0,Bullish,neutral
Vontobel Markets Suomi,Vontobel_SP_FI,2019-10-04,appoints new ceo position yourself stora enso sep 25 2019 stora enso appoints annica bresky as president and chief executiveofficer,0.0,0.0,0.0,Bullish,neutral
World Bio Market Insights,Bio_Markets,2020-01-30,appoints new forest division head,0.0,0.0,0.0,Bullish,neutral
ENP group,GroupENP,2018-11-15,appoints new group treasurer on paperfirst app,0.0,0.0,0.0,Bullish,neutral
Retweet News 2019,retweetnews2019,2021-04-24,apr 24 2021forestry giant stora enso reports increase in sales profits in q1,0.0,0.0,0.0,Bullish,positive
Stora Enso,storaenso,2018-03-08,are great voluntary tools that can help customers and consumers identify products and services with environmental excellence euympristmerkki mar 8 2018 more than 90 of paper divisions own brands are covered by one or more recognised ecolabels including the eu ecolabel the nordic ecolabel and the german blue angel blauer engel many of their graphical board brands are also available as eu ecolabel certified 2 7,0.0,2.0,7.0,Bearish,neutral
FoodTechBiz,FoodTechBiz,2022-07-19,are jointly examining a shared solution to meet the growing need in benelux responding to the demand for circular paperbased solutions foodtechbizcom stora enso tetra pak study a possible solution for beverage carton recycling,0.0,0.0,0.0,Bullish,positive
Brunton Publications,PackagingPortal,2019-06-21,are to supply the extensive paper machine grade conversion rebuild at s oulu mill,0.0,0.0,0.0,Bullish,neutral
Markku Husso,MarkkuHusso,2021-10-11,art collector and mill manager business executive of ensogutzeit now part of helene schjerfbeck oct 11 2021 automated helene schjerfbeck portrait of jalo sihtola sketch 1928,0.0,0.0,0.0,Bearish,neutral
marco moniga,MarcoMonigaAtos,2019-11-12,atos together with storaenso weve entered a global partnership to bring new solutions and services to the market this new service is based on the concept of which are enabled ekiosks,0.0,0.0,0.0,Bullish,neutral
SpikingInsider Trading,spiking,2022-09-09,automatedspiking todays acquisition 09 september 2022 stora enso acquires dutch company de jong packaging group to accelerate growth in renewable corrugated packaging to learn more visit spikingai wealth trilogy stock trading strategies dr clemen chiang get the complete dr clemen chiang new wealth trilogy guide to start your investing journey earn lots of money and have a lot of fun in the process,0.0,0.0,0.0,Bullish,neutral
