_c0,User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
7343,Ms Daria M.,MsDariaM1,2021-07-08,1352 incident toujours pas clos on se reping dans 1h a tout lheure 1,1.0,0.0,0.0,Bullish,neutral
645,ETF Screener & Stock Picker,ETFsStockPicker,2022-09-12,33609 shares in totalenergies se nysette acquired by horizon investments llc mydigitradepro copy trading strategy forex crypto bitcoin trading signal by per swart start investing in the financial markets by easily copying trading strategy forex crypto bitcoin with average monthly income 3435 into your own brokerage account add this strategy to your portfo,0.0,0.0,0.0,Bearish,neutral
2276,미국 50년 배당주 베스트50,JajoongK,2022-06-18,6 totalenergies se eni e bp bpshell shelexxonmobil xomchevron cvx indiakimtistorycom 6 totalenergies se eni e bp bpshell shelexxonmobil xomchevron 6,0.0,0.0,0.0,Bullish,neutral
6194,KhirisWord,KhirisWord,2021-12-01,789 organisations appellent encore suspendre ses versements la junte birmane mettant une nouvelle fois en exergue la communication trompeuse de la socit sur le dossier blood money campaign dec 1 2021 open letter to mr patrick pouyann 789 international civil society organisations and international labour and student unions collectively call on to end its complicity in myanmar armys atrocity crimes show this thread 2 4,0.0,2.0,4.0,Bearish,neutral
3959,France in Namibia,FranceInNamibia,2022-03-25,a major player in the energy sector in namibia now and in the years to come explains its ambitions regarding carbon neutrality by 2050 un acteur important de lnergie en dj et pour lavenir expose ses ambitions de neutralit carbone en 2050 totalenergies press mar 25 2022 17 reports on the progress made in 2021 and expands its ambition towards carbon neutrality read our sustainability climate 2022 progress report show this thread,0.0,0.0,0.0,Bearish,neutral
6166,"aL Makabone, HPPG",aLMakabone,2021-12-06,a prolonged period of elevated prices for fuels such as natural gas might jeopardize the development of alternatives totalenergies se chief executive officer patrick pouyanne told the world petroleum congress on monday ininvestingcom oil ceos warn that high prices jeopardize energy transition oil ceos warn that high prices jeopardize energy transition,0.0,0.0,0.0,Bullish,negative
881,The Union Journal,theunionjournal,2022-08-29,active condition now totalenergies se tte theunionjournalcom active condition now verizon communications vz the union journal verizon communications vz disclosed a change of 011 and its listed share value at 3699 in the recent trade transaction this company belong to usa,0.0,0.0,0.0,Bullish,neutral
2297,PiQ,PriapusIQ,2022-06-16,among bridgewaters biggest short bets are semiconductorequipment supplier asml holding nv asml 1 billion energy company totalenergies se ttef 705 million and drugmaker sanofi sa sasy 646 million piq jun 16 2022 bridgewater bets 67 billion against european stocks via capital on 2 9,2.0,0.0,9.0,Bullish,neutral
6765,Earnings Call Summaries by Aiera,AieraAlerts,2021-09-28,amzn amazon mentioned during totalenergies se total se investor day strategy and outlook event,0.0,0.0,0.0,Bullish,neutral
6768,Earnings Call Summaries by Aiera,AieraAlerts,2021-09-28,amzn amazon mentioned during totalenergies total se investor day strategy and outlook event,0.0,0.0,0.0,Bullish,neutral
5697,hurtg0d,ultradeadd,2022-01-28,bloomberg news the european union will likely accept rwandas request to fund its deployment in mozambique where its helping to fight an insurgency thats disrupted totalenergies ses 20 billion natural gas project bloomberg africa jan 28 2022 the eu will likely accept rwandas request to fund its deployment in mozambique where its helping to fight an insurgency thats disrupted totalenergies 20 billion gas project,0.0,0.0,0.0,Bullish,positive
5345,Thai News Reports,ThaiNewsReports,2022-02-11,bloomberg ptt pcl thailands statecontrolled energy company is bidding to take control of myanmars yadana gas field after totalenergies se and chevron corp exited the country to protest against the juntas continued violence against civilians bloombergcom thailand seeks control of myanmar gas project after total exit ptt pcl thailands statecontrolled energy company is bidding to take control of myanmars yadana gas field after totalenergies se and chevron corp exited the country to protest against the 2 13 17,2.0,13.0,17.0,Bullish,neutral
5346,"aL Makabone, HPPG",aLMakabone,2022-02-11,bp plc shell plc totalenergies se exxon mobil corp and chevron corp just generated the highest free cash flow since the start of 2008 when oil first climbed above 100 a barrel crude isnt that high yet but spending i mysanantoniocom big oil is pumping cash as if 100 oil has already arrived the worlds oil supermajors are pumping out cash as if crude was already trading at,0.0,0.0,0.0,Bullish,neutral
6128,SANTANDER 2022 BWF World Junior Championships,santander2022_,2021-12-12,bwf world junior championships dec 12 2021termina la cuenta atrs para el totalenergies bwf world championships 2021 se vienen intensas jornadas y partidazos de lujo comenzamoos the countdown to the totalenergies bwf world championships 2021 is over intense days and great matches are coming lets get started bwf and 5 others 5 8,0.0,5.0,8.0,Bullish,neutral
7229,Al Arabiya English,AlArabiya_Eng,2021-07-25,cabinet grants approval for totalenergies se to develop a naturalgas field and help boost the countrys output englishalarabiyanet iraq frances total to develop naturalgas field boost oil output al arabiya english iraqs cabinet gave approval for totalenergies se to develop a naturalgas field and help boost the 2 3,0.0,2.0,3.0,Bullish,positive
7205,Al Arabiya English,AlArabiya_Eng,2021-07-29,cabinet has given an approval for totalenergies se to develop a naturalgas field in order to help boost the countrys oil output englishalarabiyanet iraq frances total to develop naturalgas field boost oil output al arabiya english iraqs cabinet gave approval for totalenergies se to develop a naturalgas field and help boost the 1 1 3,1.0,1.0,3.0,Bullish,positive
6966,Sandra,Ss51202463,2021-09-01,coutez les vois des ugandais et demandez de ne pas construire cet oloduc lafrique peut se dvelopper laide des nergies renouvelables stopeacop sep 1 2021 we implore ugandas parliament to see sense and vote against the bill since it puts corporate interest above the interests of the people of uganda twittercomcecicugstatu 1 2,0.0,1.0,2.0,Bullish,neutral
2409,Jean-Philippe Henneton,JPHHenneton,2022-06-09,critrium du dauphin 5e tape les chapps se battent benjamin thomas cofidis fabien doubey totalenergies jan bakelants intermarch wanty gobert matriaux et sebastian schnberger 2,0.0,0.0,2.0,Bullish,neutral
7318,The EV Report,The_EV_Report,2021-07-12,deepens strategic hydrogen mobility partnership with totalenergies se theevreportcom hyzon motors deepens strategic hydrogen mobility partnership with totalenergies se hyzon expects to supply by 2023 up to 80 hydrogen fuel cellpowered trucks to totalenergies customers in france to support development of hydrogen,0.0,0.0,0.0,Bullish,positive
6816,Matthieu D.,elephantgeek,2021-09-26,gazprom pjsc conocophillips and totalenergies se are among energy firms expanding their fossilfuel expansion in the region with production of oil and gas set to climb 20 over the next five years 1,0.0,0.0,1.0,Bearish,positive
6942,Al Arabiya English,AlArabiya_Eng,2021-09-06,government and se agree on a 27 billion package of investment deals aimed at boosting oil and gas output and reducing power outages in secondbiggest producer englishalarabiyanet iraq totalenergies agree 27 billion of oil solar projects al arabiya english iraqs government and totalenergies se agreed on a 27 billion package of investment deals aimed at 1 1 6,1.0,1.0,6.0,Bullish,positive
2434,Red R-row,CharlesLydgate,2022-06-07,has picked exxon mobil corp,0.0,0.0,0.0,Bullish,neutral
704,johan peter,johanpe18923467,2022-09-06,honeywell international inc us equinor asa norway totalenergies se france hitachi ltd japan siemens ag germany general electric us and halliburton us 1,1.0,0.0,0.0,Bearish,neutral
