User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Infopoint #Klimawandel #Artensterben,InfopointA,2021-02-05,10 major companies responsible for international ltd group pt honsha co ltd claude forthomme feb 5 2021 unbelievable here are the 10 major companies most responsible for over half of the 100 biggest tropical timber companies do not publicly commit to protecting via 3 4,0.0,3.0,4.0,Bearish,neutral
Mint,livemint,2022-05-11,a subsidiary of wilmar international ltd has obtained a fiveyear 175 crore transition finance facility from dbs bank the lender said in a statement livemintcom dbs bank extends transition loan of rs175 crore to shree renuka sugars the proceeds will be used to finance the expansion of srsls sustainable bioethanol business in india 3 7,0.0,3.0,7.0,Bullish,positive
Suresh,surnell,2018-11-10,check tl of who has done a brilliant expose on the attempt to patent by singaporean company wilmar international as trademark of its food subsidiary kuok oils grains trading pte ltd tdb is slithering away from its responsibility 2 24 16,2.0,24.0,16.0,Bullish,neutral
EU Competition,EU_Competition,2020-01-23,the commission has approved the acquisition of a newly created joint venture ab mauri yihai kerry china investment holding company ltd of china by associated british foods of the uk and wilmar international ltd of singapore 1 2,0.0,1.0,2.0,Bullish,neutral
TradersHome,TradersHomeNews,2020-09-29,wilmar international ltd 206 377 tradershome,0.0,0.0,0.0,Bullish,neutral
Bastine,12thfellow,2022-04-30,wilmar international ltd declared quarterly results yesterday 232 revenue growth and 178 net profit growth 1 13,0.0,1.0,13.0,Bullish,positive
Kenil Thathagar,kenilthathagar,2022-05-01,wilmar international ltd declared quarterly results yesterday 232 revenue growth and 178 net profit growth 2 1 20,2.0,1.0,20.0,Bullish,positive
The Casual Smart,The_CasualSmart,2018-07-19,054 eps expected for clevelandcliffs inc clf wilmar international ltd ordinary shares wlmif shorts raised by 124,0.0,0.0,0.0,Bullish,neutral
Caio Vieira,CaioVieira1917,2020-07-03,1 dbs temasek o 4 maior acionsta 2 singtel temasek o maior acionista 3 overseachinese banking singapore investments pte ltd gic o 7 maior acionista 4 wilmar international no possui participao relevante do estado 1,1.0,0.0,0.0,Bullish,positive
ᕼᗩᒪIᗩ #FreeAssange #NoExtradition,HaliaV4non,2021-04-18,10 major companies responsible for cargill the usbased company has a long history of destruction according to a report by ngo mighty earth blackrock wilmar international ltd walmart jbs ikea korindo group pt yakult honsha co and others earthorg 12 major companies responsible for deforestation earthorg between 1990 and 2016 the world lost 13 million sq km of forest there are many but here are 12 companies that are responsible for deforestation 6 8,0.0,6.0,8.0,Bearish,neutral
BharadwajTBRC,BharadwajTbrc,2022-07-25,2022031 syrup seasoning oils general food market size share trends industry growth analysis and forecast archerdanielsmidland company adm wilmar international ltd the cocacola company bunge limited topprnewscom 2022031 syrup seasoning oils general food market size share trends industry growth spread the lovethe syrup seasoning oils general food global market report 202131 by the business research company describes and explains the global syrup seasoning oils general food market,0.0,0.0,0.0,Bullish,neutral
Data Bridge Market Research,DBMROfficial,2018-04-10,29853 million growth of oleo chemicals market 2018 worldwide market by type application geography and key players wilmar international ltd basf se eastman chemical company pg chemicals evonik industries ag cargill 2 1,0.0,2.0,1.0,Bullish,neutral
DK Amarseth,iamdkamarseth,2022-09-24,7 adani wilmar adani wilmar is a joint venture food processing company between adani entreprises ltd and wilmar international limited known for fortune edible oil 1,1.0,0.0,0.0,Bullish,neutral
Sanchi Arora | Bullish India,bullish_india,2022-09-16,7 adani wilmar it is a joint venture between adani enterprises ltd and wilmar international limited is the owner of the fortune brand of edible oils it has the largest range of edible oils comprising soya bean sunflower mustard and rice bran 1 2,1.0,0.0,2.0,Bullish,neutral
Kotak Securities Ltd,kotaksecurities,2021-09-29,adani wilmar an equal joint venture between enterprises ltd wilmar international ltd and the owner of the brand of edible oils had filed its draft ipo documents on 3rd august and the company plans to complete the ipo process before yearend source mint 22 2,0.0,0.0,2.0,Bullish,neutral
IndiaToday,IndiaToday,2022-02-08,adani wilmar awl which went to ipo is a joint venture between adani group chaired by billionaire gautam adani and singapore agribusiness wilmar international ltd indiatodayin gautam adanis group gets richer by over 2 billion with adani wilmar listing adani wilmar awl which went to ipo is a joint venture between adani group chaired by billionaire gautam adani and singapore agribusiness wilmar international ltd 3 15,0.0,3.0,15.0,Bullish,positive
IPO Ji ™,ipoji_,2021-08-02,adani wilmar files drhp for 4500cr ipo dont worry this ipo is not coming in august adani wilmar ltd awl the equal joint venture between adani enterprises ltd and wilmar international ltd and the owner of the fortune brand of edible oils on monday filed the ddrhp 2 3 47,2.0,3.0,47.0,Bullish,neutral
Fintoo,FintooApp,2022-01-27,adani wilmar ltd awl is an equal joint venture between adani enterprises ltd and wilmar international ltd though the issue is fully priced investors may consider an investment with a longterm perspective to know more about this ipo read our blog 1 1 9,1.0,1.0,9.0,Bullish,neutral
Intelisys investment & Trading,IntelisysT,2022-05-27,adani wilmar ltd has nearly tripled in value since it debuted when most entrants are under water in 2022 its shares have outpaced 121 asian ipos worth more than 100 million according to the company a joint venture between gautam adani and singapores wilmar international 10 10,0.0,10.0,10.0,Bullish,positive
investpreneurs.in,investpreneurs_,2022-01-22,adani wilmar ltd the equal joint venture between adani enterprises ltd and wilmar international ltd and the owner of the fortune brand of edible oils has set the price band for its public issue at rs 218230 per share valuing the company at rs2628782 crore,0.0,0.0,0.0,Bullish,neutral
The Edge Malaysia,theedgemalaysia,2020-08-21,adm unveils secondary block trade pricing of wilmar international ltds ordinary shares bernama 1,0.0,1.0,0.0,Bullish,neutral
MarketInsightsReport,MIRresearch,2020-10-26,africa fats and oils market overview and growth rate analysis 2020 to 2025 wilmar international ltd dupont adm bu,0.0,0.0,0.0,Bullish,neutral
WhatsOnThorold,whatsonthorold2,2019-01-04,after reaching milestone is wilmar international ltd ordinary shares wlmifs short interest revealing something,0.0,0.0,0.0,Bullish,neutral
iwan1979,iwan1979,2019-02-23,after sugar blow hits profit shares wilmar ceo targets sweet spot in sector singapore wilmar international ltd shares fell more than 4 per cent on friday after the singaporelisted commodity trader said its quarterly net profit halved mainly due to a provision link,0.0,0.0,0.0,Bullish,negative
PFD Bot,pfdbot,2020-10-19,alaskans own 250414 shares of wilmar international ltd worth 73416240 its in the food beverage tobacco industry based in singapore,0.0,0.0,0.0,Bullish,neutral
PFD Bot,pfdbot,2019-08-29,alaskans own 314814 shares of wilmar international ltd worth 76931291 its in the food beverage tobacco industry based in singapore,0.0,0.0,0.0,Bullish,neutral
PFD Bot,pfdbot,2018-05-01,alaskans own 335614 shares of wilmar international ltd worth 847862 its from the food beverage allied products sector based in singapore,0.0,0.0,0.0,Bullish,neutral
De Bruto Meyer,BrutoMeyer,2021-11-11,an amnesty investigation on wednesday showed children as young as eight working in hazardous conditions forced labor and other violations in rspocertified plantations owned by wilmar international ltd despite other reports of abuses no rspo member has lost its certification 1 3 3,1.0,3.0,3.0,Bullish,negative
JB Financial Services,jbadvisor13,2021-08-03,another amazing news for ipo market adani wilmar the equal joint venture between adani enterprises ltd and wilmar international ltd and the owner of the fortune brand of edible oils has filed ipo papers for rs 4500 crores ipo i just love this ipo season one of the best 1,0.0,0.0,1.0,Bearish,positive
INRTRADE ™ | Creating Wealth,inr_trade,2021-08-02,another superb news for ipo market adani wilmar the equal joint venture between adani enterprises ltd and wilmar international ltd and the owner of the fortune brand of edible oils has filed ipo papers for rs 4500 crores ipo i just love this ipo season one of the best 3,0.0,0.0,3.0,Bearish,positive
R.K.,ipo_mantra,2021-08-02,another superb news for ipo market adani wilmar the equal joint venture between adani enterprises ltd and wilmar international ltd and the owner of the fortune brand of edible oils has filed ipo papers for rs 4500 crores ipo i just love this ipo season one of the best 60 96 1957,60.0,96.0,0.0,Bearish,positive
EIN Presswire: Chemical Newswire,EINChemicalNews,2020-11-11,asiapacific oleo chemicals market to show tremendous growth by 2027 wilmar international ltd cargill sabic ioi corporation berhad,0.0,0.0,0.0,Bullish,positive
YomiBlog,BlogYomi,2019-04-10,bidaskscore ups pgt innovations pgti wilmar international ltd ordinary shares wlmif shorts increased by 1723,0.0,0.0,0.0,Bullish,neutral
ResearchPool,ResearchPool,2020-03-30,c6l airlines ltd singapore daily monday march 30 2020 key highlights update singapore airlines sia spholds608target s580 lender of last resort to the rescue wilmar international wil spbuys322target,0.0,0.0,0.0,Bullish,neutral
The Casual Smart,The_CasualSmart,2018-12-28,can wilmar international ltd ordinary shares wlmifs tomorrow be different the stock had increase in shorts,0.0,0.0,0.0,Bullish,neutral
Rohit Suralkar,Rohit00924,2018-11-20,caprylic acid market growth analysis opportunities and forecast by 2022 key industry participants wilmar international ltd vvf llc vigon international inc,0.0,0.0,0.0,Bearish,neutral
Chemistry Plaza,ChemistryPlaza1,2019-02-18,chemical tanker market 2025 by nordic tankers as wilmar international ltd bahri stoltnielsen odfjell navig8 mol chemical tankers pte ltd misc berhad teamtankers iino kaiun kaisha eitzen chemical and others wise awareness,0.0,0.0,0.0,Bullish,neutral
Industry Today,IndustryToday,2018-07-10,chemical tankers market 2018 global industry top key players bahri stoltnielsen odfjell navig8 nordic tankers as nordic tankers as wilmar international ltd via,0.0,0.0,0.0,Bullish,neutral
SIAnalystWire,AnalystWire,2018-11-13,clsa downgrades wilmar international ltd wilsp wlmiy to underperform,0.0,0.0,0.0,Bullish,negative
YosefardiNews,YosefardiNews,2018-07-11,confirming our earlier reports sgxlisted wilmar international ltd has stepped up its investments in the industry,0.0,0.0,0.0,Bullish,positive
Money Making Articles Hot Stuff,mmahotstuff1,2019-02-18,could wilmar international ltd ordinary shares wlmif change direction after more shorts,0.0,0.0,0.0,Bullish,neutral
WhatsOnThorold,whatsonthorold2,2018-12-28,could wilmar international ltd ordinary shares wlmif go up after its newest short interest report,0.0,0.0,0.0,Bullish,positive
REurope,reurope_stock,2019-01-27,could wilmar international ltd ordinary shares wlmif skyrocket the stock has too many sellers,0.0,0.0,0.0,Bullish,neutral
Money Making Articles Hot Stuff,mmahotstuff1,2019-04-18,does wilmar international ltd ordinary shares wlmif have gas after even more sellers involved,0.0,0.0,0.0,Bullish,neutral
HiNewUlm,UlmHi,2019-01-21,eli lilly and co lly to pay 065 on mar 8 2019 wilmar international ltd ordinary shares wlmif si increased by 1102,0.0,0.0,0.0,Bullish,positive
Money Making Articles Hot Stuff,mmahotstuff1,2018-05-05,eps for ralph lauren rl expected at 085 shorts at wilmar international ltd ordinary shares wlmif raised by 124,0.0,0.0,0.0,Bullish,positive
Generation Empower,GenEmpowerTz,2022-04-06,exciting news our on spotlight today is none other than nancy ambakisye cohort 1 graduate nancy is now process engineer at wilmar international ltd best of luck nancy were excited for your next phase of growth at wilmar 1 5,0.0,1.0,5.0,Bearish,neutral
Money Making Articles Hot Stuff,mmahotstuff1,2018-06-29,first national trust co trimmed by 348 million its apple aapl holding shorts at wilmar international ltd ordinary shares wlmif raised by 124,0.0,0.0,0.0,Bearish,positive
Santhosh TBRC,santhos92655108,2022-07-28,flour rice and malt global market by type by application by country competition opportunity analysis and industry forrecast 2022031 cj cheiljedang corp wilmar international ltd louis dreyfus cj corp soufflet sa topprnewscom flour rice and malt global market by type by application by country competition opportunity spread the love get sample reportview full reportrequest for discount the flour rice and malt global market report 202131 by the business research company describes and explains the global flour,0.0,0.0,0.0,Bearish,neutral
Robert Martin,generalcriticsm,2018-07-09,global fatty alcohols market leading players product types and applications by 2023 kao corporation sasol godrej industries limited kuala lumpur kepong berhadklk and wilmar international ltd,0.0,0.0,0.0,Bullish,neutral
Robert Martin,generalcriticsm,2018-07-17,global glycerin market leading players product types and applications by 2023 wilmar international ltd kuala lumpur kepong berhad ioi oleochemicals and emery oleochemicals,0.0,0.0,0.0,Bullish,neutral
Robert Martin,generalcriticsm,2018-07-26,global oilseed processing market leading players product types and applications by 2023 bunge limited archer daniels midland company wilmar international ltd and chs inc,0.0,0.0,0.0,Bearish,neutral
Noodles AGENT,noodles_agent,2018-03-22,global soap noodles market 2018 klk oleo 3f industries ltd permata hijau group wilmar international ltd first newshawk,0.0,0.0,0.0,Bullish,neutral
ABNewswire,ABNewswire,2018-03-28,global soy protein market increasing demand with leading key players daniels midland company dupont chs inc kerry group wilmar international ltd for usd 163 billion industry by 2025,0.0,0.0,0.0,Bullish,positive
Rutuja Mishra,MishraRutuja,2021-07-14,global white sugar market growth to observe exponential upsurge leading companies are suedzucker agtereos internacional sa american sugar refining associated british foods louis dreyfus wilmar international ltd mitr phol sugar corpnordzucker,0.0,0.0,0.0,Bullish,neutral
LinkeWire News,linkewire,2019-01-24,glycerol market business growth trends and forecast 2024 top key players emery oleochemicals ioi group pg chemicals kuala lumpur berhad wilmar international croda dial corporation godrej industries ltd,0.0,0.0,0.0,Bullish,neutral
Sarawak Oil & Gas,minyaktahi1,2020-01-16,growth drivers for hydrogenated palm oil market over forecast period 20202024 key players cargill sime darby hudson knight mewah group wilmar international ltd mectech process engineers pvt ltd golden agriresources,0.0,0.0,0.0,Bullish,neutral
exodus - #CelShortSqueeze,exodus28551601,2022-04-14,i am using check out international ltd wlmif price 343 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0,Bullish,neutral
exodus - #CelShortSqueeze,exodus28551601,2022-04-12,i am using check out international ltd wlmif price 350 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0,Bullish,neutral
exodus - #CelShortSqueeze,exodus28551601,2022-04-07,i am using check out international ltd wlmif price 354 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0,Bullish,neutral
exodus - #CelShortSqueeze,exodus28551601,2022-03-30,i am using check out international ltd wlmif price 358 the following media includes potentially sensitive content change settings view,0.0,0.0,0.0,Bullish,neutral
Finkarma,finkarmaIN,2022-03-05,industry situation bunge ltd suspended business at two oilseed processing facilities in ukraine wilmar international ltds joint venture in ukraine shut its vegetable oil units while archerdanielsmidland co closed an oilseed crushing plant in chornomorsk 1 4,1.0,0.0,4.0,Bullish,negative
Industry Today,IndustryToday,2021-03-03,interesterified fats market to make great impact in near future by 2029 cargill inc bunge ltd wilmar international limited,0.0,0.0,0.0,Bullish,neutral
The Casual Smart,The_CasualSmart,2018-07-16,is buying wilmar international ltd ordinary shares wlmif here good idea,0.0,0.0,0.0,Bullish,positive
WhatsOnThorold,whatsonthorold2,2019-02-07,is wilmar international ltd ordinary shares wlmifs fuel running low reports show more sellers,0.0,0.0,0.0,Bullish,negative
俊介shunsuke,shunsukeinsg,2019-05-02,jungle ventures2 temasek holdings ptewilmar international ltdinternational finance corpcisco investments ltdkuok khoon hong 2,0.0,0.0,2.0,Bullish,neutral
ABNewswire,ABNewswire,2022-03-22,lecithin phospholipids market worth 75 billion by 2027 key players are cargill adm dupont imcd group bv bunge limited wilmar international ltd,0.0,0.0,0.0,Bullish,neutral
Ramakrishna TBRC,sreeramtbrc,2021-05-19,major players in the food and beverages market are nestle sa pepsico inc anheuserbusch inbev sanv tyson foods inc wilmar international ltd read more,0.0,0.0,0.0,Bullish,neutral
dividendc2,dividendc2,2019-11-20,mis top5 mejores compaas semillas agricultura 1 archer daniels midland co adm 2 bunge ltd bg 3 wilmar international ltd f34 ses 4 agco corp agco 5 upl ltd upll inc 1 4,0.0,1.0,4.0,Bearish,neutral
dividendc2,dividendc2,2019-10-06,mis top5 mejores compaas semillas agricultura 1 archer daniels midland co adm 2 bunge ltd bg 3 wilmar international ltd f34 ses 4 agco corp agco 5 upl ltd upll inc 1 4 9,1.0,4.0,9.0,Bearish,neutral
dividendc2,dividendc2,2019-08-22,mis top5 mejores compaas semillas agricultura 1 archer daniels midland co adm 2 bunge ltd bg 3 wilmar international ltd f34 ses 4 agco corp agco 5 upl ltd upll inc 6,0.0,0.0,6.0,Bearish,neutral
dividendc2,dividendc2,2020-01-07,mis top5 mejores compaas semillas agricultura 1 archer daniels midland co adm 2 bunge ltd bg 3 wilmar international ltd f34 ses 4 agco corp agco 5 upl ltd upll inc agricultura semillas 1 8,0.0,1.0,8.0,Bullish,neutral
dividendc2,dividendc2,2020-03-02,mis top5 mejores compaas semillas agricultura 1 archer daniels midland co adm 2 bunge ltd bg 3 wilmar international ltd f34 ses 4 agco corp agco 5 upl ltd upll inc agricultura semillas 2 3,0.0,2.0,3.0,Bullish,neutral
Asif Ali,oxygrain,2019-11-08,myanmar largest rice mill being built by wilmar ppb group bhds 185owned associate wilmar international ltd will build the largest rice mill in myanmars thilawa special economic zone to capitalise on myanmars economic growth theedgemarketscom ppb associate wilmar to build largest rice mill in myanmar economic zone kuala lumpur ppb group bhds 185owned associate wilmar international ltd will build the largest rice mill in myanmars thilawa special economic zone to capitalise on myanmars economic growth,0.0,0.0,0.0,Bullish,positive
fairtrade.news,ftdotnews,2021-09-24,nut oil market growth factors ongoing trends opportunities and forecast to 2028 players are wilmar international ltd caloy company lp fairtrade international adm bunge limited fuji oil stillwater current,0.0,0.0,0.0,Bearish,neutral
ABNewswire,ABNewswire,2019-05-01,oleochemicals market is expected to reach usd 3861 billion by 2026 basf se wilmar international ltd pg chemicals eastman chemical company and others,0.0,0.0,0.0,Bullish,neutral
The Zimbabwe Mail,TheZimbabweMail,2020-07-14,olivine yet to receive us8m afdb loan olivine industries ltd a local unit of wilmar international is yet to,0.0,0.0,0.0,Bullish,neutral
kreviewer,kreviewer1,2019-02-18,on feb 18 2019 wilmar international ltd ordinary shares wlmif sellers increased their shorts by 1102,0.0,0.0,0.0,Bullish,positive
Diseños Virtuales,DVIINGENIERIA,2020-06-28,palm kernel oil and coconut oil based natural fatty acids market rapid growth dynamic forecast by 2028 top key players chemical associates inc emery oleochemicals kao corporation oleon nv vvf llc wilmar international ltd united coconu 1,0.0,0.0,1.0,Bullish,neutral
LinkeWire News,linkewire,2018-10-24,palm oil market demands with major eminent vendors golden agriresources astra agro lestari cargill india private limited ioi group wilmar international sime darby godrej agrovet and united palm oil industry public co ltd,0.0,0.0,0.0,Bullish,positive
Diseños Virtuales,DVIINGENIERIA,2021-06-09,pdf soy oil palm oil market has a cagr value of xx in industry towards 2027 cargill inc pt astra agro lestari tbk wilmar international ltd the courier the courier,0.0,0.0,0.0,Bullish,neutral
David Ananth .com,DavidAnanth,2018-03-02,please share live tv vision beyond journalism for live interview 0125484637 ppb to ride on wilmar growth in 2018 kuala lumpur march 2 ppb group bhd said singaporelisted associate wilmar international ltd will f,0.0,0.0,0.0,Bullish,neutral
PM Parrot,pmparrotng,2020-08-14,pz wilmar a joint venture between pz cussons international uk and wilmar international ltd singapore has restated its commitment to helping to develop the economy of nigeria by building a sustainable future for palm oil in the country in 1 1,0.0,1.0,1.0,Bullish,positive
"Imran UK Seeking, Truth, Justice & Accountability",ImranUk7,2021-08-04,replying to and 10 major companies responsible for deforestation cargill the usbased company has a long history of destruction according to a report by ngo mighty earth blackrock wilmar international ltd walmart jbs ikea korindo group pt yakult honsha co 3 1,3.0,0.0,1.0,Bearish,neutral
Sunil Puri,sunnytraining,2019-05-07,replying to and 2 others as at 6 march 2017 the substantial shareholders of wilmar international ltd are archer daniels midlands company 2393 ppb group bhd 1855 kuok brothers sdn bhd is a substantial shareholder through its interest in ppb group bhd longhlin asia ltd 815,0.0,0.0,0.0,Bullish,neutral
Edison Plato. M,epawitter1,2022-04-24,replying to and adani wilmar awl which went to ipo is a joint venture between the adani group chaired by gautam adani and singapore agribusiness wilmar international ltd awl ended its first day on the stock market with a valuation of rs 354675 crore 2 6,0.0,2.0,6.0,Bullish,neutral
Roadkill Wallaby Reef Foundation,Karmageddon67,2018-12-10,replying to and deforestation in asia and africa palm oil giant wilmar resorts to dirty tricks worlds largest palm oil trading company wilmar international ltd under scrutiny as communities accuse its suppliers of harassment deception and rights abuses 1 5 2,1.0,5.0,2.0,Bullish,negative
Sunil Puri,sunnytraining,2019-05-07,replying to as at 6 march 2017 the substantial shareholders of wilmar international ltd are archer daniels midlands company 2393 ppb group bhd 1855 kuok brothers sdn bhd is a substantial shareholder through its interest in ppb group bhd longhlin asia ltd 815,0.0,0.0,0.0,Bullish,neutral
mark david,markdav03898857,2022-09-12,replying to there company is here is nigeria check out about wilmar international ltd,0.0,0.0,0.0,Bullish,neutral
Hindustan Times,htTweets,2022-05-26,shares in the firm a joint venture between the group controlled by asias richest person gautam adani and singapores wilmar international ltd have outperformed 121 asian initial public offerings worth over 100 million this year hindustantimescom this company by gautam adani is asias bestperforming ipo shares in the firm a joint venture between the group controlled by asias richest person gautam adani and singapores wilmar international ltd have outperformed 121 asian initial public offerings 1 2,1.0,0.0,2.0,Bullish,neutral
LTN,Livetradingnews,2018-05-22,singapore wilmar international ltd wlilsi time to buy singapore wilmar international,0.0,0.0,0.0,Bullish,neutral
Esteban Moscariello,moscarielloe,2022-08-04,singaporelisted agribusiness wilmar international ltd on thursday reported a 55 jump in net profit for the first half of fiscal 2022 boosted by strong performance across all its operations reuters 5,0.0,0.0,5.0,Bearish,positive
RitaBuyse,ACOMRB,2018-11-15,singaporelisted commodity trader wilmar international ltd may invest in soybean production and processing and transhipment of soybean concentrates in russias far east reuterscom russia says singapores wilmar may invest in soybean production there singaporelisted commodity trader wilmar international ltd may invest in soybean production and processing and transhipment of soybean concentrates in russias far east a regional ministry said on 4 1,0.0,4.0,1.0,Bullish,neutral
Rocketnews,Rocketnews1,2018-08-22,singapores wilmar international to buy bunges raw and white sugar contracts singaporebased agribusiness firm wilmar international ltd said its subsidiary will buy contracts for raw and white sugar from a bunge,0.0,0.0,0.0,Bullish,neutral
