User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Trader Khan,@Abdulba46232961,2024-03-26T17:08:03.000Z,"Trader Khan
@Abdulba46232961
·
1hReplying to 
@Catboy_io
 and 
@bitgetglobal",,,1
Indiana Conservation Voters,@invoters,2024-03-26T15:15:38.000Z,"Indiana Conservation Voters
@invoters
·
3h Despite what fossil-based #H2 industry interests say, the reality is that clean hydrogen is clearly achievable and economical. 
@MWCleanHydrogen
/
@bp_plc
 must hear the voices of Indiana communities and commit to clean hydrogen, instead of lobbying to undercut 45V rules.",,,1
Money Maze Podcast,@podcast_maze,2024-03-26T14:46:22.000Z,"Money Maze Podcast
@podcast_maze
·
3h Ann Davies, Senior Vice President, Wells, at 
@bp_plc
 , explains bp’s work to build an energy system that serves society.

Listen to the full episode here: http://moneymazepodcast.com/podcast/ann-davies…

The Money Maze Podcast is kindly sponsored by 
@Schroders
, 
@Bremont
, and 
@IFM_Investors
.   

#bp…
Show more",,,
Ramora Facilities Support,@Ramora_FS,2024-03-26T14:04:30.000Z,"Ramora Facilities Support
@Ramora_FS
·
4hHere's Kyle undertaking his first forecourt deep clean at 
@bp_plc
 under guidance from our Supervisor.

After weeks of training, eager to learn Kyle is now implementing his skills to transform this petrol station with many more across the UK to come.

#bp #deepcleaning #jobs",,,
Visive Group,@VisiveGroup,2024-03-26T10:00:01.000Z,"Visive Group
@VisiveGroup
·
8hbp Gledrid SF Connect, Weston Rhyn near Oswestry looking very inviting on a frosty December morning.

Helping brands to shine.
@bp_plc
#branding 
#design 
#LED",,,
radha,@rebelexposed,2024-03-26T06:36:35.000Z,"radha
@rebelexposed
·
11hInvestors have been nervous about Faye winning the election due to his promise to review deals with  international investors including BP Plc, Endeavour Mining Plc and Kosmos Energy Ltd. (KOS) He’s also questioned whether Senegal  using the CFA franc for trade

Rise of Senegal ",,,1
Narsing Shendage,@NarsingShendge1,2024-03-26T04:52:33.000Z,"Narsing Shendage
@NarsingShendge1
·
13hReplying to 
@mipaltan
 @bp_plc
 and 
@Castrol_India",,,
Xankəndi,@LoveBakuAz,2024-03-26T02:33:26.000Z,"Xankəndi
@LoveBakuAz
·
15hReplying to 
@YerazYera
 @GenocideNo
 and 2 others",,,
Nizam al-Mulk,@mmaksudov,2024-03-25T23:20:52.000Z,"Nizam al-Mulk
@mmaksudov
·
18hReplying to 
@GTouryan
 @GenocideNo
 and 2 others",,,2
Cyan Mum 2 Ricky daughter 2 Angela met rape 4 hire,@ActCarers,2024-03-25T23:03:12.000Z,"Cyan Mum 2 Ricky daughter 2 Angela met rape 4 hire
@ActCarers
·
19hReplying to 
@ciabaudo",,,2
Arous #ArtsakhGenocide,@ArousMaraian,2024-03-25T22:54:48.000Z,"Arous #ArtsakhGenocide
@ArousMaraian
·
19hI just signed a No Business With Genocide petition demanding that BP stop funding #genocide against Armenians in #Azerbaijan. 

Please sign and share the petition below. https://actionnetwork.org/petitions/bp-stop-funding-genocide-against-armenians-in-azerbaijan?source=twitter&…
@genocideno
 #EndGenocide #Armenia 
@ANCA_DC
 @bp_plc",,,
PerfoBlogger - Drilling Blog,@PerfoBlogger,2024-03-25T22:52:12.000Z,"PerfoBlogger - Drilling Blog
@PerfoBlogger
·
19hBP PLC y Venezuela confirmaron el jueves que están en conversaciones con el gobierno de Trinidad y Tobago para desarrollar un yacimiento compartido de gas natural en alta mar en el Caribe.",,,1
