User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Chris Garrard,@TheGarrard,2022-09-29T23:22:40.000Z,"Chris Garrard
@TheGarrard
·
Sep 30, 2022On 
@BBCRadio4
 news, hearing of the major health risks of 
@bp_plc
’s gas #flaring in Iraq at the Rumaila gas field. 

Engineer said BP “doesn’t care” about the issue, it is a “slow death”.

Does the 
@britishmuseum
 really want to continue being tied to this company? 1/2
1
7
19",1,7,19
HamboneFakenamington @CenturyAvocado@fosstodon.org,HamboneFakenamington @CenturyAvocado@fosstodon.org,2022-09-29T23:00:03.000Z,"HamboneFakenamington @CenturyAvocado@fosstodon.org
@CenturyAvocado
·
Sep 30, 2022Replying to 
@alexbloor
 @bp_plc
 and 
@bp_UK
I recently had to use ICE car.Also found that since I changed to EV the local petrol station no longer works on the Shell app. It's a small function but made petrol stations just that bit nicer to use. Now it's worse again:(EV is such a dream never having to visit petrol stations
1",,,1
Daniel Piri,@DanielPiri6,2022-09-29T22:15:29.000Z,"Daniel Piri
@DanielPiri6
·
Sep 30, 202220 years later. 97 of BP's 236 former employees in Zambia have died without being paid their pension. 
  
@DavidLammy
 @bp_plc
 @guardianaudio
 Listen to the pensioners tell their story: https://bit.ly/BP-Pensions-Video… 
 #renewable 
 #guardianpodcast",,,
Tim Reid,@Tim__Reid,2022-09-29T21:52:41.000Z,"Tim Reid
@Tim__Reid
·
Sep 29, 2022Massive questions for 
@bp_plc
 @bp_MIddleEast
 over illegal flaring #scandal in Iraq causing #cancer in local families. Excellent but shocking report by 
@BBCArabic
bbc.co.uk
Under Poisoned Skies
Investigating the dirty secrets of the oil industry.
3
2",,3,2
Andrew Lucas FRSA,@bythewatersedge,2022-09-29T21:43:14.000Z,"Andrew Lucas FRSA
@bythewatersedge
·
Sep 29, 2022.
@bp_plc
 I have just watched the story from 
@bbcarabicalerts
 on #NewsatTen regarding #pollution in Iran due to #flaring at your plant. 

Your “Oh really? Thanks for drawing our attention to it. We better investigate” (paraphrasing) statement is simply unacceptable.
1",1,,
James Royston,@jamesroyston,2022-09-29T21:39:31.000Z,"James Royston
@jamesroyston
·
Sep 29, 2022Well done 
@BBCArabic
 for unveiling this distressing story of the harm British (& other) companies are doing to Iraqi children. 
@bp_UK
 .
@bp_plc
 you have a moral responsibility to act- no excuse for causing cancer
Clean Air in London
@CleanAirLondon
·
Sep 29, 2022
The full @BBCArabic documentary #UnderPoisonedSkies is on @BBCiPlayer HT @rosiepelican https://bbc.co.uk/iplayer/episode/p0d34rtt/under-poisoned-skies…
Show this thread
2",,,2
Daniel Piri,@DanielPiri6,2022-09-29T21:15:03.000Z,"Daniel Piri
@DanielPiri6
·
Sep 29, 202220 years later. 97 of BP's 236 former employees in Zambia have died without being paid their pension. 
  
@DavidLammy
 @bp_plc
 @guardianaudio
 Read more: https://bit.ly/31wpjB3 
 #renewables 
 #Zambia
1",,1,
Roger Mexico PhD,@statisticstan,2022-09-29T20:54:18.000Z,"Roger Mexico PhD
@statisticstan
·
Sep 29, 2022Breaking: 
@bp_plc
 very concerned about 
@BBCArabic
 study showing gas flaring is suffocating Iraqis to death, while still choking oceans.
The following media includes potentially sensitive content. Change settings
View",,,
Mackerm,@Mackerm2,2022-09-29T20:22:26.000Z,"Mackerm
@Mackerm2
·
Sep 29, 2022Replying to 
@Mackerm2
 @wammezz
 and 3 others
Oh, it's an 18-month old article.  Maybe still valuable though.",,,
mxgonzo,@mxgonzo2,2022-09-29T20:02:09.000Z,"mxgonzo
@mxgonzo2
·
Sep 29, 2022We at 
@Chevron
 don't actually give a single f*ck about you. 

 Neither does 
@bp_plc
, 
@royaldutchshell
, 
@exxonmobil
, Saudiaramco, 
@Gazprom
 or 
@Phillips66
. 

But #DrillBabyDrill right?
Seth Abramson
@SethAbramson
·
Sep 29, 2022
Best. Commercial. *Ever*.

Retweet everywhere. Share everywhere. Discuss everywhere. https://twitter.com/i/status/1575538762825637888/video/1…",,,
