User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CropLifeIndia,@CropLifeIndia,2022-07-29T07:14:57.000Z,"CropLifeIndia
@CropLifeIndia
·
Jul 29, 2022.
@CropLifeIntl
 @CropLifeAsia
 @BASFAgro
 @Bayer4Crops_IN
 @corteva
 @FMCCorp
 @Indofilofficial
 @PIINDLTD
 @SyngentaIND
 @Dhanuka_agri
  @CrystalCrop1",,,
Eric Rappaport,@TequilaVBPops,2022-07-29T00:46:38.000Z,"Eric Rappaport
@TequilaVBPops
·
Jul 29, 2022@Bayer
 @DowNewsroom
 @BASF
 @BASFAgro
 @FMCCorp
 @SyngentaUS
 

It's time to stop using pesticides which kill non-specifically.
npr.org
Beloved monarch butterflies are now listed as endangered
The International Union for the Conservation of Nature added the migrating monarch butterfly for to its ""red list"" of threatened species and categorized it as ""endangered"" — two steps from extinct.",,,
CropLifeIndia,@CropLifeIndia,2022-07-28T08:52:33.000Z,"CropLifeIndia
@CropLifeIndia
·
Jul 28, 2022.
@CropLifeIntl
 @CropLifeAsia
 @BASFAgro
 @Bayer4Crops_IN
 @corteva
 @FMCCorp
 @Indofilofficial
 @PIINDLTD
 @SyngentaIND
 @Dhanuka_agri
 @CrystalCrop1",,,
CropLifeIndia,@CropLifeIndia,2022-07-28T08:18:26.000Z,"CropLifeIndia
@CropLifeIndia
·
Jul 28, 2022#CropProtection #agriculture #pesticides #NatureConservationDay #Sustainable #PesticideContainerManagement 
@CropLifeIntl
 @CropLifeAsia
 @BASFAgro
 @Bayer4Crops_IN
 @corteva
 @FMCCorp
 @Indofilofficial
 @PIIndustriesLtd
 @SyngentaIND
 @Dhanuka_agri
 @CrystalCrop1",,,
Saurin,@Saurin2344,2022-07-27T22:33:13.000Z,"Saurin
@Saurin2344
·
Jul 28, 2022Listening to customers and working together to produce more food and prosperity #customercentricity thank you 
@Kristin11704390
 @fmcapac
 @FMCCorp
 @MayuriBiswasDas
 @inimEiku
 @Nik_AFadhil
 @LongGiangPham1
 @R_bennur1
 @rajukap
 @pandeydk1970
 @RaviAnnavarapu2
Kristina Hermanson
1
8",,1.0,8.0
CropLifeIndia,@CropLifeIndia,2022-07-27T10:11:19.000Z,"CropLifeIndia
@CropLifeIndia
·
Jul 27, 2022Pesticides aid public health. Check out how! For more info, Subscribe to our YouTube channel: https://bit.ly/3oajxzr
@CropLifeIntl
 @CropLifeAsia
 @BASFAgro
  @Bayer4Crops_IN
 @corteva
 @FMCCorp
 @Indofilofficial
 @PIINDLTD
 @SyngentaIND
 @Dhanuka_agri
 @CrystalCrop1
4",,,4.0
gener8tor,@gener8tor,2022-07-26T16:02:26.000Z,"gener8tor
@gener8tor
·
Jul 26, 2022#OnRampAg is wrapping up a panel on how biological crop inputs are rapidly evolving, featuring Sara Olson from 
@FMCCorp
, Jack Kloeber from 
@MicroMGx
 and Brennan Duty from 
@Ginkgo
.
1
4",,1.0,4.0
CropLifeIndia,@CropLifeIndia,2022-07-26T07:14:30.000Z,"CropLifeIndia
@CropLifeIndia
·
Jul 26, 2022Plant Science is a viable step toward ensuring food safety. Watch how! Subscribe to our YouTube channel for more: https://bit.ly/3oajxzr
@CropLifeIntl
 @CropLifeAsia
 @BASFAgro
 @Bayer4Crops_IN
 @corteva
 @FMCCorp
 @Indofilofficial
 @PIINDLTD
 @SyngentaIND
 @Dhanuka_agri
 @CrystalCrop1
2",,,2.0
PFD Bot,@pfdbot,2022-07-26T01:01:49.000Z,"PFD Bot
@pfdbot
·
Jul 26, 2022Alaskans own 10,219 shares of Fmc Corp, worth $935,651.64. It's in the  Materials industry, based in  United States.",,,
Insider Alerts,@InsiderAlerts4U,2022-07-25T13:55:31.000Z,"Insider Alerts
@InsiderAlerts4U
·
Jul 25, 2022$FMC:

New Insider Filing on FMC CORP's

Director

VINCENT R JR VOLPE:

https://insideri.com/37785_000112760222019684_0001127602-22-019684…",,,
