User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ChartMill,@ChartMill,2021-10-12T16:53:02.000Z,"ChartMill
@ChartMill
·
Oct 12, 2021The technical rating of $AAL.L is bad and it also does not present a quality setup at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-10-12T00:21:04.000Z,"ChartMill
@ChartMill
·
Oct 12, 2021$AAL.L has an average volume of 1292090. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-10-11T08:32:02.000Z,"ChartMill
@ChartMill
·
Oct 11, 2021The technical rating of $AAL.L is bad and it also does not present a quality setup at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
*JACKS DANIEL'S*,@DanielC16779212,2021-10-10T04:38:49.000Z,"*JACKS DANIEL'S*
@DanielC16779212
·
Oct 10, 2021Replying to 
@IvonneHerrera_
 @paganac
 and 3 others
Mijita
Compañía Minera Doña Inés de Collahuasi es una sociedad contractual minera cuyos accionistas son Anglo American plc (44%), Glencore (44%) y Japan Collahuasi Resources B.V. (12%)

AHORA quien cree ud que Proteje a estos Reos
@Senado_Chile
@fuentesilva
@mirkomacari
@biobio
3
1
2",3,1,2
ChartMill,@ChartMill,2021-10-06T17:07:03.000Z,"ChartMill
@ChartMill
·
Oct 6, 2021Although the technical rating is bad, $AAL.L does present a nice setup opportunity. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-28T13:59:02.000Z,"ChartMill
@ChartMill
·
Sep 28, 2021The technical rating of $AAL.L is bad and it also does not present a quality setup at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-27T21:49:02.000Z,"ChartMill
@ChartMill
·
Sep 27, 2021$AAL.L has a poor technical rating and the quality of the setup is also only medium at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-26T16:38:02.000Z,"ChartMill
@ChartMill
·
Sep 26, 2021The technical rating of $AAL.L is bad and it also does not present a quality setup at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-26T14:05:03.000Z,"ChartMill
@ChartMill
·
Sep 26, 2021The technical rating of $AAL.L is bad and it also does not present a quality setup at the moment. https://chartmill.com/stock/analyzer/stock/AAL.L?key=b14b7448-9c2f-4eca-b33b-531ed76d22c2&utm_source=twitterEU&utm_medium=TA&utm_content=AAL.L&utm_campaign=social_tracking… #ChartMill #AngloAmericanPlc #AAL #LondonStockExchange #TechnicalAnalysis",,,
Lester's Lens,@_Lester_Davids,2021-09-26T13:48:29.000Z,"Lester's Lens
@_Lester_Davids
·
Sep 26, 2021Anglogold Ashanti relative to Anglo American Plc. 

Turn up here? i.e. ANG starts to outperform AGL on a relative basis or, 

Break below support? i.e. ANG continues to languish relative to AGL. 

Monthly chart, from the start of the China/EM Commodities Boom in 2003.
2
1
9",2,1,9
