User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Investing.com News,@newsinvesting,2021-10-12T20:15:05.000Z,"Investing.com News
@newsinvesting
·
Oct 12, 2021Goldman Sachs Stick to Their Buy Rating for Cenovus Energy Inc - https://invst.ly/wacg9",,,
Stock Market Genius,@stockmktgenius,2021-10-11T20:23:29.000Z,"Stock Market Genius
@stockmktgenius
·
Oct 11, 2021$CVE Cenovus Energy Inc Common Top stock up 258% from low. Close: 11.74 VolvsAvg: 0.37 Liq: $45M
stockcharts.com
CVE - Cenovus Energy Inc.
SharpChart from StockCharts.com
1",,,1
Kwhen Finance,@kwhenfinance,2021-10-06T21:02:55.000Z,"Kwhen Finance
@kwhenfinance
·
Oct 6, 2021Cenovus Energy Inc Shares Climb 3.3% Past Previous 52-Week High - Market Mover https://ayr.app/l/fPZX $CVE #stockmarket #kwhenfinance
kwhen.com
Kwhen - Cenovus Energy Inc Shares Climb 3.3% Past Previous 52-Week High - Market Mover
The shares rose 3.3% lower than its previous 52-week high of $10.93, with trading volume higher than its 30 day average
1
1",,1,1
Stock Market Genius,@stockmktgenius,2021-10-06T05:50:21.000Z,"Stock Market Genius
@stockmktgenius
·
Oct 6, 2021$CVE Cenovus Energy Inc Common Top stock up 229% from low. Close: 10.78 VolvsAvg: 1.13 Liq: $137M
stockcharts.com
CVE - Cenovus Energy Inc.
SharpChart from StockCharts.com",,,
Piri Ikkita,@IkkitaPiri,2021-10-05T08:46:29.000Z,"Piri Ikkita
@IkkitaPiri
·
Oct 5, 2021#RT 
@kwhenfinance
: Cenovus Energy Inc Shares Close in on 52-Week High - Market Mover https://ayr.app/l/QcVP $CVE #stockmarket #kwhenfinance
kwhen.com
Kwhen - Cenovus Energy Inc Shares Close in on 52-Week High - Market Mover
The shares closed 0.9% below its 52-week high of $10.53, with trading volume higher than its 30 day average",,,
Kwhen Finance,@kwhenfinance,2021-10-05T08:25:18.000Z,"Kwhen Finance
@kwhenfinance
·
Oct 5, 2021Cenovus Energy Inc Shares Close in on 52-Week High - Market Mover https://ayr.app/l/QcVP $CVE #stockmarket #kwhenfinance
kwhen.com
Kwhen - Cenovus Energy Inc Shares Close in on 52-Week High - Market Mover
The shares closed 0.9% below its 52-week high of $10.53, with trading volume higher than its 30 day average",,,
Stock Market Genius,@stockmktgenius,2021-10-04T19:49:05.000Z,"Stock Market Genius
@stockmktgenius
·
Oct 4, 2021$CVE Cenovus Energy Inc Common Top stock up 221% from low. Close: 10.54 VolvsAvg: 0.63 Liq: $67M
stockcharts.com
CVE - Cenovus Energy Inc.
SharpChart from StockCharts.com",,,
Stock Research Bot,@stockresearchhq,2021-09-30T20:27:06.000Z,"Stock Research Bot
@stockresearchhq
·
Sep 30, 2021Cenovus Energy Inc current quarter revenue growth YoY of 406.20% ranked 152 out of 5598 companies in our database. 

 https://earningsfly.com/stocks/cve?source=twitter-bot… $CVE
ALT",,,
Bullish Trend,@trend_bullish,2021-09-28T12:36:39.000Z,"Bullish Trend
@trend_bullish
·
Sep 28, 2021$CVE.TO RECOMMENDATIONS
 • Cenovus Energy Inc: National Bank of Canada raises its target price from C $ 20 to C $ 22 due to expectations that the company will continue to ensure operational execution, synergies, asset sales and  the generation of free cash flow.
1
11",,1,11
Kalkine Media Canada,@kalkine_ca,2021-09-24T13:00:21.000Z,"Kalkine Media Canada
@kalkine_ca
·
Sep 24, 2021Cenovus Energy Inc (TSX:CVE) stock performance

#TSX 
@cenovus
  #stocktobuy #stockmarket
kalkinemedia.com
Cenovus (TSX:CVE) jumps as oil prices rise. An energy stock to buy?
Highlights Cenovus stock has yielded 117.60 per cent in the past one year, likely boosted by the addition of Husky Energy assets in January 2021...",,,
SEC.report,@EdgarInsider,2021-09-21T13:06:18.000Z,"SEC.report
@EdgarInsider
·
Sep 21, 2021Filing for 6-K  has been made with the SEC:  $CVE #CenovusEnergy Inc.  CENOVUS ENERGY INC  https://sec.report/Document/0001475260-21-000018/…",,,
J.M. Hamilton,@jmhamiltonblog,2021-09-20T12:49:44.000Z,"J.M. Hamilton
@jmhamiltonblog
·
Sep 20, 2021Covid-19 outbreaks in the oil sands are now affecting workers at eight mining and well sites operated by companies including Suncor Energy Inc., Cenovus Energy Inc. and Canadian Natural Resources Ltd.",,,
Stock Research Bot,@stockresearchhq,2021-09-15T21:03:06.000Z,"Stock Research Bot
@stockresearchhq
·
Sep 15, 2021Cenovus Energy Inc current quarter revenue growth YoY of 406.20% ranked 153 out of 5560 companies in our database. 

 https://earningsfly.com/stocks/cve?source=twitter-bot… $CVE
ALT",,,
Quantisnow,@quantisnow,2021-09-14T20:36:28.000Z,"Quantisnow
@quantisnow
·
Sep 14, 2021$CVE  SEC Form SC 13D/A filed by Cenovus Energy Inc (Amendment)

https://quantisnow.com/insight/1771607?s=t…

30 seconds delayed.
quantisnow.com
Quantisnow
Fastest customizable news feed in the world. Follow your favorite companies, SPACs or topics and get alerted as soon as material information break out. SEC filings | FDA approvals | Press releases |...",,,
SEC.report,@EdgarInsider,2021-09-13T21:15:06.000Z,"SEC.report
@EdgarInsider
·
Sep 13, 2021New Form 6-K  entry filed by  $CVE CENOVUS ENERGY INC  https://sec.report/Document/0001475260-21-000014/…",,,
Stock Research Bot,@stockresearchhq,2021-09-12T22:17:05.000Z,"Stock Research Bot
@stockresearchhq
·
Sep 13, 2021Cenovus Energy Inc current quarter revenue growth YoY of 406.20% ranked 153 out of 5575 companies in our database. 

 https://earningsfly.com/stocks/cve?source=twitter-bot… $CVE
ALT",,,
SEC.report,@EdgarInsider,2021-09-10T20:39:26.000Z,"SEC.report
@EdgarInsider
·
Sep 10, 2021Filing for 6-K  has been made with the SEC:  $CVE CENOVUS ENERGY INC  https://sec.report/Document/0001193125-21-270054/…",,,
Investing.com News,@newsinvesting,2021-09-09T20:15:02.000Z,"Investing.com News
@newsinvesting
·
Sep 9, 2021Raymond James Stick to Their Hold Rating for Cenovus Energy Inc - https://invst.ly/v-hh2",,,
SEC.report,@EdgarInsider,2021-09-09T14:03:34.000Z,"SEC.report
@EdgarInsider
·
Sep 9, 2021FORM 6-K  recently SEC filed.  $CVE CENOVUS ENERGY INC  #CenovusEnergy Inc.  https://sec.report/Document/0001193125-21-268468/…",,,
"Trade Alerts, Trade Ideas and Crypto",@AlertTrade,2021-09-09T13:51:35.000Z,"Trade Alerts, Trade Ideas and Crypto
@AlertTrade
·
Sep 9, 2021REVERSALtoDOWN: $CVE Cenovus Energy Inc  TradeIdeas via ⟶ http://AlertTrade.us",,,
