User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Louie,@sisu_23,2022-09-29T23:16:04.000Z,"Louie
@sisu_23
·
Sep 30, 2022@Chevron
 @bp_America
 @exxonmobil
 @Shell
 @conocophillips
GIF
ALT",,,
ConocoPhillips,@conocophillips,2022-09-29T21:52:51.000Z,"ConocoPhillips
@conocophillips
·
Sep 29, 2022Meet #ConocoPhillips #math advocates who aren't shy about sharing their enthusiasm for numbers and calculations: https://bit.ly/3fxde80
1
1
5",1,1,5
Tickeron,@Tickeron,2022-09-29T21:43:24.000Z,"Tickeron
@Tickeron
·
Sep 29, 2022$COP in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://srnk.us/go/4029109 #ConocoPhillips",,,
Echelon,@Echelon_UK,2022-09-29T20:51:13.000Z,"Echelon
@Echelon_UK
·
Sep 29, 2022New Keywords for ConocoPhillips:
vincotto
strep
hogan
yokel
emyd",,,
greenBuilt Intl Bldg Co,@gbibuildingco,2022-09-29T19:50:05.000Z,"greenBuilt Intl Bldg Co
@gbibuildingco
·
Sep 29, 2022Offset YOUR #CarbonFootprint NOW!

Use our Certified #CarbonOffsets!

Visit us at …http://www.greenbuiltinternationalbuildingcompany.com.

Contact us at gbibuildingco@outlook.com. #carboncredits #carbontax 
@AirChinaNA
 @Conoco
 @conocophillips
 @MarathonOil
 @bakerhughesco
 @DukeEnergy
 #Schlumberger 
@Enbridge
 RT
1
1",,1,1
GreatAKShootout,@GreatAKShootout,2022-09-29T19:40:00.000Z,"GreatAKShootout
@GreatAKShootout
·
Sep 29, 2022Excited to be just 50 days away from the return of the ASRC/ConocoPhillips Great Alaska Shootout!

https://goseawolves.com/news/2022/8/25/womens-basketball-womens-great-alaska-shootout-returning-in-november.aspx…
@COP_Alaska
 @ASRC_AK
 @UAAWBB
 @uaanchorage
 @ncaawb
 @AlaskaAir
5
25",,5,25
FUGOP,@galgrafix,2022-09-29T15:38:02.000Z,"FUGOP
@galgrafix
·
Sep 29, 2022Replying to 
@NathanMackBrown
Name hurricanes for the fossil fuel COMPANIES. CEOs aren't commonly known.
Saudi Aramco
Chevron
Gazprom 
ExxonMobil 
BP 
Royal Dutch Shell 
Peabody Energy 
ConocoPhillips 
Total SA 
BHP Billiton ...
theguardian.com
Revealed: the 20 firms behind a third of all carbon emissions
New data shows how fossil fuel companies have driven climate crisis despite industry knowing dangers",,,
Ozgur Capraz,@oocapraz,2022-09-29T15:35:02.000Z,"Ozgur Capraz
@oocapraz
·
Sep 29, 2022Replying to 
@ddburkey
 @UConnEngineer
 and 
@UConnCBE
Her visit was amazing 
@CHEatOKSTATE
 on 2018 for ConocoPhillips Lecture. Had chance to have a photo with her while holding my over used chemical process book from undergrad years.
2",,,2
td,@eaglesquared,2022-09-29T15:11:34.000Z,"td
@eaglesquared
·
Sep 29, 2022Building with Snap Circuits to investigate electrical energy. #eseSOAR 
@HumbleISD_ESE
 @RiceU_STEM
 @conocophillips
 #RiceAMP
1
8",,1,8
Carbon Market Investing,@carboninvestors,2022-09-29T15:02:47.000Z,"Carbon Market Investing
@carboninvestors
·
Sep 29, 2022Oil giant Shell is leading the way on this $4 trillion climate change solution some say won’t work

Shell, BP, ConocoPhillips, and Exxon Mobil have all been working on the technology, which Exxon Mobil estimates will be a $4 trillion market by 2050.
finance.yahoo.com
Oil giant Shell is leading the way on this $4 trillion climate change solution some say won’t work
Fossil fuel companies are dominating carbon capture and storage technology that, despite investments from the Biden administration, has been criticized as a faulty approach to addressing carbon...
1
1",,1,1
OSU Farm Management,@OSUFarmMgmt,2022-09-29T13:50:00.000Z,"OSU Farm Management
@OSUFarmMgmt
·
Sep 29, 2022The 2022 Rural Economic Outlook Conference will take place Wednesday, October 12 at the ConocoPhillips Alumni Center located on the OSU campus.

Keynote speakers will discuss challenges facing US Agricultural producers and supply chain issues.

Register at https://agriculture.okstate.edu/departments-programs/agecon/extension/rural-economic-outlook-conference.html…",,,
Dr. Karl Popp,@karl_popp,2022-09-29T12:07:20.000Z,"Dr. Karl Popp
@karl_popp
·
Sep 29, 2022manavigator: Diversified Energy Closes Acquisition Of Conocophillips Assets http://manavigator.com/news/diversified-energy-closes-acquisition-of-conocophillips-assets… #manda #merger #mergerautomation 
@karl_popp",,,
M&A Navigator,@manavigator,2022-09-29T12:07:06.000Z,"M&A Navigator
@manavigator
·
Sep 29, 2022Diversified Energy Closes Acquisition Of Conocophillips Assets http://manavigator.com/news/diversified-energy-closes-acquisition-of-conocophillips-assets…",,,
American Chamber of Commerce Qatar,@AmChamQatar,2022-09-29T10:03:42.000Z,"American Chamber of Commerce Qatar
@AmChamQatar
·
Sep 29, 2022#AmChamQatar's productive breakfast with 
@USAmbQatar
 Davis today. Thank you 
@USEmbassyDoha
 team. We're looking forward to the collaboration to come! 
@exxonmobil_qa
 @Google
 @conocophillips
 @Boeing
 @RaytheonTech
 @microsoftqatar
 @GUQatar
 @MarshGlobal
 @LeMeridien
 @wdoha
 @ParsonsCorp
1
2",,1,2
Communist Stock Analysis,@communiststocks,2022-09-29T10:01:38.000Z,"Communist Stock Analysis
@communiststocks
·
Sep 29, 2022ConocoPhillips - $COP

 QUOTE
$COP was UP  on Wed Sep 28
Closed at 103.00 USD for a 4.29% gain from previous close
  

 ANALYSIS
ConocoPhillips should be nationalized
☭ ☭ ☭",,,
Treva,@thlarose,2022-09-29T09:59:54.000Z,"Treva
@thlarose
·
Sep 29, 2022Replying to 
@BeechWesley
 and 
@ultragarland
My friend worked for ConocoPhillips in Bartlesville and the have laid off so many people there.  Refinery in Ponca City and Bartlesville still going but purged administrative jobs
1",,,1
ABC Noticias,@abcesnoticias,2022-09-29T09:06:50.000Z,"ABC Noticias
@abcesnoticias
·
Sep 29, 2022Juez de EE UU ordena a Venezuela pagar a ConocoPhillips
abcnoticias.net
Juez de EE UU ordena a Venezuela pagar a ConocoPhillips
Un juez en Washington ordenó al Estado venezolano pagar alrededor de 8,7 millardos de dólares a ConocoPhillips",,,
weight loss,@KLmire,2022-09-29T08:16:05.000Z,"weight loss
@KLmire
·
Sep 29, 2022ConocoPhillips’ Small Biz Builder to provide lift for startups, entrepreneurs https://platformania.com/conocophillips-small-biz-builder-to-provide-lift-for-startups-entrepreneurs/…",,,
ISLG,@ISLG_updates,2022-09-28T22:28:19.000Z,"ISLG
@ISLG_updates
·
Sep 29, 2022ConocoPhillips v. Venezuela, Recommendation in Respect of the Proposal for the Disqualification of Judge Dominique Hascher and Professor Diego Fernández Arroyo, available for download https://bit.ly/3E2any7 #ISLGNewContent",,,
ISLG,@ISLG_updates,2022-09-28T22:26:43.000Z,"ISLG
@ISLG_updates
·
Sep 29, 2022ConocoPhillips v. Venezuela, Procedural Order No. 2 (Annulment Proceeding), available for download https://bit.ly/3Sz3CYI #ISLGNewContent",,,
ISLG,@ISLG_updates,2022-09-28T22:24:41.000Z,"ISLG
@ISLG_updates
·
Sep 29, 2022ConocoPhillips v. Venezuela,  Chairman Decision on the Disqualification of Judge Dominique Hascher and Professor Diego Fernández Arroyo, available for download https://bit.ly/3SJh0ZZ #ISLGNewContent",,,
Capitalizo,@capitalizo,2022-09-28T20:54:34.000Z,"Capitalizo
@capitalizo
·
Sep 28, 2022A ação da petroleira ConocoPhillips (#COP, #COPH34), por exemplo, subiu mais de 5,5% no pregão de hoje.
1
1",1,,1
greenBuilt Intl Bldg Co,@gbibuildingco,2022-09-28T19:55:51.000Z,"greenBuilt Intl Bldg Co
@gbibuildingco
·
Sep 28, 2022Offset YOUR #CarbonFootprint NOW!

Use our Certified #CarbonOffsets!

Visit us at …http://www.greenbuiltinternationalbuildingcompany.com.

Contact us at gbibuildingco@outlook.com. #carboncredits #carbontax 
@AirChinaNA
 @Conoco
 @conocophillips
 @MarathonOil
 @bakerhughesco
 @DukeEnergy
 #Schlumberger 
@Enbridge
 RT
1
2",,1,2
Wall Street Easy,@WallStreetEasy,2022-09-28T19:52:57.000Z,"Wall Street Easy
@WallStreetEasy
·
Sep 28, 2022Hoy es miércoles de #Petroimpacto: 
Caen los precios del crudo ante incertidumbre macroeconómica
Precios de #WTI se sitúan por debajo de $80 por barril
#ConocoPhillips alcanza los $5.000M de beneficios en 2T22
Léelo aquí https://bit.ly/3BUEEw4
#oil #petroleo #economy #stocks
wallstreeteasy.com
Caen los precios del crudo ante incertidumbre macroeconómica - Wall Street Easy
1
4
2",1,4,2
San Juan College,@SanJuanCollege,2022-09-28T19:02:22.000Z,"San Juan College
@SanJuanCollege
·
Sep 28, 2022This picture was taken last week at the 
@conocophillips
  scholarship reception at the School of Energy. Thank you, ConocoPhillips for making educational dreams come true! #SanJuanCollege #SuccessMatters
2",,,2
Allen,@Allen073157,2022-09-28T18:35:57.000Z,"Allen
@Allen073157
·
Sep 28, 2022Replying to 
@PatrioTrumpet
And now that gas prices are beginning to inflate yet again, Biden’s already prepositioning the narrative.  Blame Hurricane Ian and those dastardly oil companies.  
@exxonmobil
 @Chevron
 @conocophillips
 best get your story ready because Joe’s coming to a gas station near you.",,,
Mark LaCour,@Mark_LaCour,2022-09-28T18:11:07.000Z,"Mark LaCour
@Mark_LaCour
·
Sep 28, 2022ConocoPhillips Makes Large Oil Discovery Offshore Norway
oilprice.com
ConocoPhillips Makes Large Oil Discovery Offshore Norway | OilPrice.com
ConocoPhillips has made a large oil discovery in the Norwegian Sea close to a producing oilfield, the U.S. oil and gas company said on Tuesday",,,
Ebit Susono,@ebitsusono,2022-09-28T17:00:36.000Z,"Ebit Susono
@ebitsusono
·
Sep 28, 2022Edisi pesta bakar2an dan konser Dewa 19, juncto perpeloncoan kadet mesin..

Medco EP Natuna Belanak 2020 @ Natuna Sea Conocophillips Offshore https://instagram.com/p/CjDtnD0pVj1/?igshid=YTgzYjQ4ZTY=…",,,
Baker Botts,@bakerbotts,2022-09-28T16:27:07.000Z,"Baker Botts
@bakerbotts
·
Sep 28, 2022Meghan McElvy moderated the Macro Risks for the Energy Landscape session with:

- Richard Byrnes, Chief Infrastructure Officer 
@Port_Houston
- Helen Currie, Chief Economist 
@conocophillips
  
- 
@finley_mark
, Fellow 
@BakerInstitute
- 
@MeghanNutting
, EVP Gov't & Reg Affairs 
@Sunnova
6",,,6
UBJ667,@OKomuhendo,2022-09-28T10:26:42.000Z,"UBJ667
@OKomuhendo
·
Sep 28, 2022You Need to See this stock? ConocoPhillips (COP)
socialmarin.com
You Need to See this stock? ConocoPhillips (COP) - UK NEWS
ConocoPhillips (COP) exchanged 1515536 shares on hands in most recent trading session and observed an average volume with 7163.87K shares. The stock acknowledged active focus on shares in the current...",,,
Juragan Muda,@juraganmuda_ID,2022-09-28T10:18:54.000Z,"Juragan Muda
@juraganmuda_ID
·
Sep 28, 2022Salah satu perusahaan migas (upstream) terbaik saat ini yg listing di bursa Indo adalah $MEDC. Akuisisi ConocoPhillips Indonesia yg sebelumnya kelola Corridor Block benar-benar Game Changer. Hasilnya langsung tampak di lapkeu Q2 2022. Mari kita lihat beberapa kuartal ke depan 
1
1
3",1,1,3
Menelaos Manos Tzafalias,@tzaf,2022-09-28T10:13:11.000Z,"Menelaos Manos Tzafalias
@tzaf
·
Sep 28, 2022UPDATE///CORRECTION

""#AlaskaTheSemiFinalFrontier works, too - especially in a $CVX $DD $DOW $XOM world""

I FORGOT ABOUT JEFFERY HILDEBRAND & HILCORP
https://hilcorp.com/about-us/fact-sheets/…

AND ConocoPhillips $COP
""the Permian, Eagle Ford, Bakken, #Norway and #Alaska""
ConocoPhillips
@conocophillips
·
Aug 11, 2022
Check out the work of the #ConocoPhillips 2022 SPIRIT Award Innovation Champion recognized for his contributions to the development of geospatial intelligence and drone technologies used in the Permian, Eagle Ford, Bakken, Norway and Alaska: https://bit.ly/3BXlMye",,,
mahesh chavan,@maheshc478,2022-09-28T10:07:41.000Z,"mahesh chavan
@maheshc478
·
Sep 28, 2022#Crude #Oil Market is one of the most #economically mature commodity markets in the #world. #Despite the fact that the global crude oil industry has #various #development #DriversLive 
Demand For Free Sample : https://tinyurl.com/yzeb5k5v
@RosneftEN
 
@conocophillips
Twitter and 3 others",,,
MergerLinks,@MergerLinks,2022-09-28T10:00:32.000Z,"MergerLinks
@MergerLinks
·
Sep 28, 2022Diversified Energy completed the acquisition of the Oklahoma and Texas-based assets from 
@conocophillips
 for $240m.

https://app.mergerlinks.com/transactions/2022-07-28-conocophillips-company-oklahoma-and-texas-assets… via MergerLinks

#MergersandAcquisitions #OilandGas #Energy",,,
Scarlett But Not Red,@Madwomanmoon,2022-09-28T05:36:51.000Z,"Scarlett But Not Red
@Madwomanmoon
·
Sep 28, 2022Replying to 
@Island_Rover
 @exxonmobil
 and 4 others
Imagine what we could do with that money.... I'm sick of my tax money going to mega corporations! 

#StopOilSubsidies
1",,,1
Mickey stands with Ukraine & its people,@Island_Rover,2022-09-28T03:42:21.000Z,"Mickey stands with Ukraine & its people
@Island_Rover
·
Sep 28, 2022Show me the money !!
@exxonmobil
 @Chevron
 @bp_America
 @Shell_USA
 @conocophillips
Mike Hudema
@MikeHudema
·
Sep 27, 2022
The fossil fuel industry gets 11 million dollars in subsidies every single minute: https://buff.ly/3BmwdIh

How many more disasters before we stop funding the problem? #ActOnClimate

#ClimateEmergency #climate #energy #renewables #greennewdeal
1
2
2",1,2,2
Bright,@seedorfBRITE,2022-09-28T00:52:36.000Z,"Bright
@seedorfBRITE
·
Sep 28, 2022@conocophillips
 please help my talented brothers playing good football achieve thier football dreams.",,,
Bright,@seedorfBRITE,2022-09-28T00:51:35.000Z,"Bright
@seedorfBRITE
·
Sep 28, 2022Replying to 
@conocophillips
 @astros
 and 
@TomballISD",,,
ConocoPhillips,@conocophillips,2022-09-28T00:45:09.000Z,"ConocoPhillips
@conocophillips
·
Sep 28, 2022All season, #ConocoPhillips and the 
@astros
 are celebrating outstanding teachers, including 
@TomballISD
's Jennifer Koster! This Algebra 1 teacher was also named a 2022 A+ teacher of the year at #Tomball Memorial High School. Join us in congratulating her! https://bit.ly/3xUXMsp
2
8
38",2,8,38
Piper Ginny,@PiperGinny1,2022-09-28T00:36:34.000Z,"Piper Ginny
@PiperGinny1
·
Sep 28, 2022Replying to 
@PiperGinny1
 and 
@nimkef
Some kind of link to ConocoPhillips
1
1",1,,1
greenBuilt Intl Bldg Co,@gbibuildingco,2022-09-27T19:20:40.000Z,"greenBuilt Intl Bldg Co
@gbibuildingco
·
Sep 27, 2022Offset YOUR #CarbonFootprint NOW!

Use our Certified #CarbonOffsets!

Visit us at …http://www.greenbuiltinternationalbuildingcompany.com.

Contact us at gbibuildingco@outlook.com. #carboncredits #carbontax 
@AirChinaNA
 @Conoco
 @conocophillips
 @MarathonOil
 @bakerhughesco
 @DukeEnergy
 #Schlumberger 
@Enbridge
 RT
1
1",,1,1
The Union Journal,@theunionjournal,2022-09-27T18:08:09.000Z,"The Union Journal
@theunionjournal
·
Sep 27, 2022#StockNews #ConocoPhillips You Need to See this stock? ConocoPhillips (COP)
theunionjournal.com
You Need to See this stock? AGNC Investment Corp. (AGNC) - The Union Journal
AGNC Investment Corp. (AGNC) exchanged 8988469 shares on hands in most recent trading session and observed an average volume with 16355.08K shares. The stock",,,
Midland Reporter-Telegram,@mwtnews,2022-09-27T17:33:08.000Z,"Midland Reporter-Telegram
@mwtnews
·
Sep 27, 2022ConocoPhillips sponsoring small business support program
mrt.com
ConocoPhillips sponsoring small business support program
The program aims to support at least 75 small businesses in Eddy and Lea counties, New...
1",,,1
Rise of the Alien Queen,@rise_alien,2022-09-27T17:11:00.000Z,"Rise of the Alien Queen
@rise_alien
·
Sep 27, 2022Replying to 
@NickolaKalla
I know Arkansas is an oil producing state (ConocoPhillips). Although, so is California. But we don't have the taxes and air quality restrictions here - so could be that.",,,
ConocoPhillips,@conocophillips,2022-09-27T16:53:15.000Z,"ConocoPhillips
@conocophillips
·
Sep 27, 2022This #ConocoPhillips senior geologist (right) has volunteered his expertise in fine-grained sedimentology and stratigraphy to help restore sand dunes in Puerto Rico. Learn more: https://bit.ly/3dNCXIO
3
6",,3,6
Ryan Patrick Kirlin,@RyanPKirlin,2022-09-27T16:26:47.000Z,"Ryan Patrick Kirlin
@RyanPKirlin
·
Sep 27, 2022We have a 38% weighting to energy. ConocoPhillips (COP), Peabody Energy Corp (BTU...which is a great ticker), Diamondback Energy (FANG), and many more.

Probably the most interesting one is Occidental Petroleum Corp ($OXY). This gentleman named Warren Buffett bought it too.
1
4",1,,4
Crwe World,@CrweWorld,2022-09-27T15:16:52.000Z,"Crwe World
@CrweWorld
·
Sep 27, 2022Thinking about trading options or stock in Uber Technologies, ConocoPhillips, Pinduoduo, Humana, or Cracker Barrel?
crweworld.com
Thinking about trading options or stock in Uber Technologies, ConocoPhillips, Pinduoduo, Humana, or...
Thinking about trading options or stock in Uber Technologies, ConocoPhillips, Pinduoduo, Humana, or Cracker Barrel?  ",,,
Todd @TVDAssociates,Todd @TVDAssociates,2022-09-27T13:01:50.000Z,"Todd @TVDAssociates
@tvdassociates
·
Sep 27, 2022The future of our company will be born out of a web of human conversations. -Dan Ranta, ConocoPhillips's director of knowledge sharing #tvda
1",,,1
Fortune 500,@Fortune500,2022-09-27T12:10:04.000Z,"Fortune 500
@Fortune500
·
Sep 27, 2022Shell, BP, ConocoPhillips, and Exxon Mobil have all been working on carbon capture and storage tech, which Exxon Mobil estimates will be a $4 trillion market by 2050.
fortune.com
Oil giant Shell is leading the way on this $4 trillion climate change solution some say won’t work
Fossil fuel companies are dominating carbon capture and storage technology that, despite investments from the Biden administration, has been criticized as a faulty approach to addressing carbon...
1",,,1
Well Info UK,@wellinfouk,2022-09-27T08:06:28.000Z,"Well Info UK
@wellinfouk
·
Sep 27, 2022ConocoPhillips has reported that 2/4-X-30 A (Ekofisk Field) has started drilling operations

If you find this interesting please like this post and follow us

#oilandgas #wellengineering #NPD #Norway #wellbore #ConocoPhillips",,,
