User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
DTN/Progressive Farmer,@dtnpf,2022-09-29T23:03:40.000Z,"DTN/Progressive Farmer
@dtnpf
·
Sep 30, 2022Pesticide manufacturers Syngenta Crop Protection and Corteva Inc. allegedly paid distributors to block competitors from selling less-expensive generic products to farmers, according to a complaint filed by the FTC and 10 state attorneys general #Ag
dtnpf.com
FTC, State AGs Sue Syngenta, Corteva, Alleging Companies Block Generic Pesticide Sales
The Federal Trade Commission and attorneys general from 10 states have sued Syngenta and Corteva, alleging the companies are using loyalty programs to limit competitors' generic pesticides sales.
10
2",,10,2
Royal Newsfeed,@RoyalNewsfeed,2022-09-28T23:35:41.000Z,"Royal Newsfeed
@RoyalNewsfeed
·
Sep 29, 2022
AutomatedCorteva, Inc. (CTVA) Gains But Lags Market: What You Should Know http://dlvr.it/SZ9XpG #news #stocks #stockmarketnews
nasdaq.com
Corteva, Inc. (CTVA) Gains But Lags Market: What You Should Know",,,
Hot-Stock,@HotStock12,2022-09-28T13:24:52.000Z,"Hot-Stock
@HotStock12
·
Sep 28, 2022$CTVA Stock Trading Ideas | (NYSE) Stock Rating Changed to Sell: Corteva Inc. >>
ultraalgo.com
Stock Trading Ideas for Stocks, ETFs, Forex and Futures
Stock Trading Ideas to optimize portfolio performance with algorithms. Leverage the same tools used by High Frequency Traders to beat the market. ",,,
thecolorofred,@masyou,2022-09-27T16:39:51.000Z,"thecolorofred
@masyou
·
Sep 27, 2022Corporate Europe Observatory's 'A Loud Lobby for a Silent Spring' found the F2F Strategy ""provoked counter-lobby of huge proportions [from] pesticide giants inc. Bayer-Monsanto BASF Syngenta & Corteva"" wc collectively holds est. ""2/3 of the €53B market"".
corporateeurope.org
A loud lobby for a silent spring
In order to tackle the grave threat of the biodiversity crisis, the EU will table a proposal for targets for the reduction of pesticide use. This has put the pesticide industry into survival mode. A...
1
1",1,1,
dividendc2,@dividendc2,2022-09-26T20:37:25.000Z,"dividendc2
@dividendc2
·
Sep 26, 2022Mejores acciones del sector Materiales

$LIN Linde plc
$SHW Sherwin-Williams
$APD Air Products and Chemicals
$CTVA Corteva
$FCX Freeport-McMoRan
$ECL Ecolab
$DOW Dow, Inc.
$NUE Nucor
$NEM Newmont
$ALB Albemarle
$PPG PPG Industries
$DD DuPont de Nemours
$VMC Vulcan Materials
7
53",,7,53
"Daljit Kaur Soni, Esq.",@daljitkaursoni,2022-09-21T16:38:00.000Z,"Daljit Kaur Soni, Esq.
@daljitkaursoni
·
Sep 21, 2022""Net income of 8 of the largest pesticides + fertilizer companies — Yara International; CF Industries Holdings Inc.; K+S Aktiengesellschaft; Nutrien Ltd.; The Mosaic Company; Corteva, Inc.; BASF SE; and Bayer1 — are projected to double, from US$19 B in 2021 to 38 B in 2022.""
Oakland Institute
@oak_institute
·
Sep 21, 2022
$38 Billion Question – Who is Driving the Destructive Industrial Agriculture Model?

New blog reveals @Vanguard_group @Blackrock
 as largest shareholders behind major #fertilizer & #pesticide companies.
@Mittaloak 

https://oaklandinstitute.org/blog/vanguard-blackrock-driving-destructive-industrial-agriculture-model…
12
7",,12,7
AgTech Daily,@AgtechD,2022-09-21T02:02:16.000Z,"AgTech Daily
@AgtechD
·
Sep 21, 2022Gradient Investments LLC Sells 1,137 Shares of Corteva, Inc. (NYSE:CTVA)
agtechdaily.com
Gradient Investments LLC Sells 1,137 Shares of Corteva, Inc. (NYSE:CTVA) - www.agtechdaily.com
RELATED POSTS Angry residents vow to fight proposal for agricultural shed in picturesque Calderdale hamlet Florida officials to provide update in Orlando FreeFall death investigation Electricity: Edo...",,,
Peter Herz,@peter_herz,2022-09-20T21:56:22.000Z,"Peter Herz
@peter_herz
·
Sep 20, 2022Soon after layoffs, Corteva report touts food security concerns | AGDAILY
https://zpr.io/GRDSKn67gWQU
Just a week after reports of layoffs were announced by seed and pesticide company Corteva Inc., the company publishes information on global food security.
agdaily.com
Soon after layoffs, Corteva report touts food security concerns | AGDAILY
Just a week after reports of layoffs were announced by seed and pesticide company Corteva Inc., the company publishes information on global food security.",,,
Money Algo,@MoneyAlgo,2022-09-20T21:33:32.000Z,"Money Algo
@MoneyAlgo
·
Sep 20, 2022CLOSE Long [ CTVA ] Corteva Inc -1.9% in 11 days",,,
WKRB News,@WKRBNews,2022-09-20T20:43:31.000Z,"WKRB News
@WKRBNews
·
Sep 20, 2022Corteva, Inc. $CTVA Sees Significant Increase in Short Interest http://wkrb13.com/?p=4903669 #markets",,,
