User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Creatureduchaos,@creatureduchaos,2022-09-29T09:51:24.000Z,"Creatureduchaos
@creatureduchaos
·
Sep 29, 2022Selon Soros, son + gros bénéfice annuel – qui dépasse 50% – provient de la société américaine de production de gaz appelée Energy Transfer LP, qui s'occupe également du gaz naturel liquéfié
A qui profite le sabotage de #Nordstream1 #Nordstream2?  #Ukraine
1
1",1,1,
Income Statement Bot,@fundamentalsbot,2022-09-28T22:26:04.000Z,"Income Statement Bot
@fundamentalsbot
·
Sep 29, 2022Energy Transfer LP's quarterly revenue growth rate YoY of 71.80% ranked 530 out of 5754 companies in our database. 

https://stockideashq.com/stocks/et?source=twitter-income… $ET
ALT",,,
UBJ667,@OKomuhendo,2022-09-28T00:08:44.000Z,"UBJ667
@OKomuhendo
·
Sep 28, 2022Active Condition Now? Energy Transfer LP (ET)
socialmarin.com
Active Condition Now? Energy Transfer LP (ET) - UK NEWS
Energy Transfer LP (ET) disclosed a change of 2.30% and its listed share value at $10.45 in the recent trade transaction. This company belong to USA Country and part of Energy sector. ET exchanged...",,,
Energy Transfer,@EnergyTransfer,2022-09-27T15:55:26.000Z,"Energy Transfer
@EnergyTransfer
·
Sep 27, 2022Thomas Long, Co-CEO of Energy Transfer LP, has been named to the 
@ShopFloorNAM
 Board of Directors. He will help the industry advance a manufacturing competitiveness agenda that promotes opportunity and prosperity for all Americans.
nam.org
Energy Transfer Co-CEO Tom Long Named to Manufacturers Association Board of Directors
Washington, D.C. – The National Association of Manufacturers announced that Thomas Long, Co-CEO of Energy Transfer LP, has been named to the NAM Board of Directors. Long will join the NAM Board to…
3",,,3
Blair Dulder CPA™,@runaway_vol,2022-09-23T15:28:04.000Z,"Blair Dulder CPA™
@runaway_vol
·
Sep 23, 2022Energy Transfer LP $ET has dipped $-0.71 (-6.32%) now trading at 10.61
markets.sh
Energy Transfer LP (ET) Stock Price, Financials, News, and More
Energy Transfer owns a large platform of crude oil, natural gas, and natural gas liquid assets primarily in Texas and the U.S. midcontinent region. It also has gathering and processing facilities, ...",,,
Quantcha Trade Ideas,@QuantchaIdeas,2022-09-23T14:28:42.000Z,"Quantcha Trade Ideas
@QuantchaIdeas
·
Sep 23, 2022StockTwits Trending Alert: Trading recent interest in ENERGY TRANSFER LP $ET https://ideas.quantcha.com/2022/09/23/stocktwits-trending-alert-trading-recent-interest-in-energy-transfer-lp-et/…",,,
volume ticker,@datadili,2022-09-23T14:22:23.000Z,"volume ticker
@datadili
·
Sep 23, 2022Energy Transfer LP traded -37% below average volume, $ET down -5.26%",,,
かぶきあげ大好き,@kabukiagesuki,2022-09-23T11:19:33.000Z,"かぶきあげ大好き
@kabukiagesuki
·
Sep 23, 2022Energy Transfer LP のtickerは $ET

ホームページのリンクがおかしな事になってる。。
1",,,1
かぶきあげ大好き,@kabukiagesuki,2022-09-23T11:16:27.000Z,"かぶきあげ大好き
@kabukiagesuki
·
Sep 23, 2022Energy Transfer LP: $ET'E
""【投資家】リー・クーパーマンは先日、エナジー・トランスファーが良いと思うと言いました。 彼は（会長の）ケルシー・ウォーレンが好きで、私はパイプラインが好きです。""
1
1",1,,1
Money Algo,@MoneyAlgo,2022-09-22T21:33:17.000Z,"Money Algo
@MoneyAlgo
·
Sep 22, 2022CLOSE Long [ ET ] Energy Transfer LP -4.79% in 7 days",,,
