User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ChartMill,@ChartMill,2021-10-12T07:58:02.000Z,"ChartMill
@ChartMill
·
Oct 12, 2021$GLEN.L is currently showing a bull flag pattern! A bull flag pattern is a pull back after a strong rise up. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
*JACKS DANIEL'S*,@DanielC16779212,2021-10-10T04:38:49.000Z,"*JACKS DANIEL'S*
@DanielC16779212
·
Oct 10, 2021Replying to 
@IvonneHerrera_
 @paganac
 and 3 others
Mijita
Compañía Minera Doña Inés de Collahuasi es una sociedad contractual minera cuyos accionistas son Anglo American plc (44%), Glencore (44%) y Japan Collahuasi Resources B.V. (12%)

AHORA quien cree ud que Proteje a estos Reos
@Senado_Chile
@fuentesilva
@mirkomacari
@biobio
3
1
2",3,1,2
Maureen O'Mahoney,@cheerio46,2021-10-08T14:58:39.000Z,"Maureen O'Mahoney
@cheerio46
·
Oct 8, 2021Barclays sees Glencore Plc as ‘top pick’ as it expects coal prices to stay high
proactiveinvestors.co.uk
Barclays sees Glencore as ‘top pick’ as it expects coal prices to stay high
Analysts at Barclays called Glencore PLC (LSE:GLEN) their ‘top pick’ in the mining sector with the expectation that coal prices will remain...",,,
David Cranmer Underdown,@DavidCranmerUn1,2021-10-08T11:52:47.000Z,"David Cranmer Underdown
@DavidCranmerUn1
·
Oct 8, 2021Pincus Green set up their own company in Switzerland, Marc Rich + Co. AG, which would later become Glencore Xstrata Plc. Nicknamed ""the King of Oil"" by his business partners, Rich has been said to have expanded the spot market for crude oil in the early 1970s, drawing business
1",1,,
Financely Group,@financelygroup,2021-10-07T15:53:33.000Z,"Financely Group
@financelygroup
·
Oct 7, 2021Copper price rises on supply disruption worries: An indigenous community in Peru's Espinar province blocked a key mining road on Wednesday, in protest against the government and Glencore PLC's Antapaccay mine. http://dlvr.it/S962gS by Financely Group",,,
Neha Anand,@Neha_1007,2021-10-07T06:55:14.000Z,"Neha Anand
@Neha_1007
·
Oct 7, 2021An indigenous community in #Peru's Espinar province that blocked a key mining road on Wednesday plans to continue the blockade indefinitely, in protest against the government and 
@Glencore
 PLC's Antapaccay copper mine.
3",,,3
SAKAKIBARA Yoji,@sakak,2021-10-07T06:34:06.000Z,"SAKAKIBARA Yoji
@sakak
·
Oct 7, 2021""An indigenous community in Peru's Espinar province that blocked a key mining road on Wednesday plans to continue the blockade indefinitely, a local leader said, in protest against the government and Glencore PLC's Antapaccay copper mine.""
Reuters
@Reuters
·
Oct 7, 2021
Peru community says it won't end Glencore mine blockade until demands met http://reut.rs/2ZXKpcR",,,
ChartMill,@ChartMill,2021-10-05T19:57:02.000Z,"ChartMill
@ChartMill
·
Oct 5, 2021In the last month $GLEN.L has a been trading in the 305.10 - 360.65 range, which is quite wide. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-10-05T09:36:02.000Z,"ChartMill
@ChartMill
·
Oct 5, 2021$GLEN.L has an average volume of 9216010. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
Richard W. Painter,@RWPUSA,2021-10-04T12:06:00.000Z,"Richard W. Painter
@RWPUSA
·
Oct 4, 2021PolyMet is controlled by Glencore PLC. a Swiss mining conglomerate close to Putin. Trump's EPA and corrupt Minnesota regulators approved these permits for sulfide mining which will destroy the Lake Superior watershed and Boundary Waters. The answer is NO!
apnews.com
Minnesota DNR launches new hearing process for PolyMet mine
ST. PAUL, Minn. (AP) — Minnesota regulators on Friday launched a court-ordered process for assessing the risks to clean water from waste from the proposed PolyMet copper-nickel mine in northeastern...
3
77
126",3,77,126
Luis Villa,@LuisVilla2805,2021-10-03T23:02:02.000Z,"Luis Villa
@LuisVilla2805
·
Oct 4, 2021Replying to 
@carlosetchepare
 and 
@Rosariotres
@GalindezM3
  Es incorrecto decir ""ex Glencore"". Glencore existe (Glencore Plc, vale casi US$ 65.000 M).

US$ 3.000 M de esos 65.000 son el 50 % de Viterra (el valor global de Viterra es 6.000).",,,
ChartMill,@ChartMill,2021-10-03T15:31:02.000Z,"ChartMill
@ChartMill
·
Oct 3, 2021$GLEN.L has an average volume of 9031910. This is a good sign as it is always nice to have a liquid stock. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-10-01T18:01:02.000Z,"ChartMill
@ChartMill
·
Oct 1, 2021In the last month $GLEN.L has a been trading in the 305.10 - 352.85 range, which is quite wide. https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
ChartMill,@ChartMill,2021-09-29T17:37:03.000Z,"ChartMill
@ChartMill
·
Sep 29, 2021A new 52 week high is currently being made by $GLEN.L, which is a very good signal! https://chartmill.com/stock/analyzer/stock/GLEN.L?key=1b25205f-6897-4936-b2df-7843103bc7b3&utm_source=twitterEU&utm_medium=TA&utm_content=GLEN.L&utm_campaign=social_tracking… #ChartMill #Glencoreplc #GLEN #LondonStockExchange #TechnicalAnalysis",,,
Asuntos Legales,@asulegalesLR,2021-09-29T15:34:17.000Z,"Asuntos Legales
@asulegalesLR
·
Sep 29, 2021Esto, en el marco de la solicitud de autorización de la integración empresarial entre Glencore Group, BHP Billington y Anglo American PLC, mediante la cual Glencore planea adquirir 100% del capital de las empresas que operan la mina del Cerrejón
asuntoslegales.com.co
Drummond pide que la SIC obligue a Glencore a vender su participación en Fenoco
La solicitud se da en el marco de la autorización de la integración empresarial con la que Glencore compraría 100% del Cerrejón",,,
stock3,@stock3com,2021-09-29T06:37:02.000Z,"stock3
@stock3com
·
Sep 29, 2021Morgan Stanley erhöht Kursziel für Glencore #wirtschaft #börse #finanzen #glencoreplc
stock3.com
stock3: Die Homebase für Ihren Börsenalltag
✓Realtime-Kurse ✓Börsennews ✓Analyse-Tools ✓Charts ✓Trading-Funktionen. In Echtzeit alle Märkte im Blick - via Web und App!",,,
