User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
The Corporate Brief,@LegalNews,2022-09-29T23:52:22.000Z,"The Corporate Brief
@LegalNews
·
Sep 30, 2022International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit https://jdsupra.com/legalnews/international-paper-co-to-pay-65-000-to-4035754/… | by 
@EEOCNews
jdsupra.com
International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
Paper Company Applicant Denied Job Because of ADHD Medication, Federal Agency Charged - DALLAS – Memphis-based International Paper Co. will pay $65,000 and furnish other relief to...",,,
Employment Law News,@Labor_Law,2022-09-29T23:48:02.000Z,"Employment Law News
@Labor_Law
·
Sep 30, 2022International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit https://jdsupra.com/legalnews/international-paper-co-to-pay-65-000-to-4035754/… | by 
@EEOCNews
jdsupra.com
International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
Paper Company Applicant Denied Job Because of ADHD Medication, Federal Agency Charged - DALLAS – Memphis-based International Paper Co. will pay $65,000 and furnish other relief to...",,,
Daily Law News,@Legal_Alerts,2022-09-29T23:45:22.000Z,"Daily Law News
@Legal_Alerts
·
Sep 30, 2022International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit https://jdsupra.com/legalnews/international-paper-co-to-pay-65-000-to-4035754/… | by 
@EEOCNews
jdsupra.com
International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
Paper Company Applicant Denied Job Because of ADHD Medication, Federal Agency Charged - DALLAS – Memphis-based International Paper Co. will pay $65,000 and furnish other relief to...",,,
Business Advisories,@BizAdvisories,2022-09-29T23:37:07.000Z,"Business Advisories
@BizAdvisories
·
Sep 30, 2022International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit https://jdsupra.com/legalnews/international-paper-co-to-pay-65-000-to-4035754/… | by 
@EEOCNews
jdsupra.com
International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
Paper Company Applicant Denied Job Because of ADHD Medication, Federal Agency Charged - DALLAS – Memphis-based International Paper Co. will pay $65,000 and furnish other relief to...",,,
Crwe World,@CrweWorld,2022-09-28T22:00:10.000Z,"Crwe World
@CrweWorld
·
Sep 29, 2022International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
crweworld.com
International Paper Co. to Pay $65,000 to Settle EEOC Disability Discrimination Suit
Paper Company Applicant Denied Job Because of ADHD Medication, Federal Agency Charged DALLAS â€“ Memphis-based International Paper Co. will pay $65,000 and furnish other relief to settle a disability...",,,
Stock Market News,@Stock_Market_Pr,2022-09-27T22:41:12.000Z,"Stock Market News
@Stock_Market_Pr
·
Sep 28, 2022International Paper Co. stock outperforms market on strong trading day - MarketWatch https://marketwatch.com/story/international-paper-co-stock-outperforms-market-on-strong-trading-day-01664312442-cd1a6422f85d?utm_source=dlvr.it&utm_medium=twitter…",,,
Communist Stock Analysis,@communiststocks,2022-09-21T15:01:03.000Z,"Communist Stock Analysis
@communiststocks
·
Sep 21, 2022International Paper Co - $IP

 QUOTE
$IP is UP  on Wed Sep 21
Currently at 35.39 USD for a 1.60% gain from previous close
  

 ANALYSIS
International Paper Co should be nationalized
☭ ☭ ☭",,,
Kwhen Finance,@kwhenfinance,2022-09-21T00:08:35.000Z,"Kwhen Finance
@kwhenfinance
·
Sep 21, 2022International Paper Co. Shares Close in on 52-Week Low - Market Mover https://ayr.app/l/bVk8 $IP #stockmarket #kwhenfinance
kwhen.com
Kwhen - International Paper Co. Shares Close in on 52-Week Low - Market Mover
The shares closed 0.2% above its 52-week low of $34.75, with trading volume higher than its 30 day average",,,
stocksoftheday,@stocksoftheday1,2022-09-20T21:30:57.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 20, 2022$IP International Paper Co is falling fast! It's down -4.63% today!",,,
PriceTarget Research Inc,@prctarget,2022-09-20T20:42:27.000Z,"PriceTarget Research Inc
@prctarget
·
Sep 20, 2022Alert: Major Price Decline (9/16/22)-International Paper Co (NYSE: IP). #StockAlert #InternationalPaper $IP #PriceTarget #MajorPriceDecline
pricetargetresearch.com
Alert: Major Price Decline (9/16/22)-International Paper Co (NYSE: IP). - PriceTarget Research
International Paper Co (NYSE: IP) stock closed at $35.23 on 9/16/22 after a major decline of -11.2%.",,,
かぶきあげ大好き,@kabukiagesuki,2022-09-20T14:32:05.000Z,"かぶきあげ大好き
@kabukiagesuki
·
Sep 20, 2022International Paper Co: $IP
「一度転がり始めると、大きく転がる。 あの株には手を出すな」。
1",1.0,,
Stock Market News,@Stock_Market_Pr,2022-09-20T00:14:34.000Z,"Stock Market News
@Stock_Market_Pr
·
Sep 20, 2022International Paper Co. stock rises Monday, outperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-rises-monday-outperforms-market-01663621259-e0f5036f41d1?utm_source=dlvr.it&utm_medium=twitter…",,,
stocksoftheday,@stocksoftheday1,2022-09-19T21:30:57.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 19, 2022$IP International Paper Co saw an increase of +3.66% today!",,,
Communist Stock Analysis,@communiststocks,2022-09-19T08:01:29.000Z,"Communist Stock Analysis
@communiststocks
·
Sep 19, 2022International Paper Co - $IP

 QUOTE
$IP was DOWN  on Fri Sep 16
Closed at 35.23 USD for a -11.21% loss from previous close
  

 ANALYSIS
International Paper Co should be nationalized
☭ ☭ ☭",,,
Stock Market News,@Stock_Market_Pr,2022-09-16T22:40:34.000Z,"Stock Market News
@Stock_Market_Pr
·
Sep 17, 2022International Paper Co. stock falls Friday, underperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-falls-friday-underperforms-market-01663362033-c0958044698e?utm_source=dlvr.it&utm_medium=twitter…",,,
stocksoftheday,@stocksoftheday1,2022-09-16T21:30:58.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 16, 2022$IP International Paper Co is falling fast! It's down -11.21% today!",,,
Piri Ikkita,@IkkitaPiri,2022-09-14T23:46:18.000Z,"Piri Ikkita
@IkkitaPiri
·
Sep 15, 2022#RT 
@kwhenfinance
: International Paper Co. Shares Approach 52-Week Low - Market Mover https://ayr.app/l/y4gP $IP #stockmarket #kwhenfinance
kwhen.com
Kwhen - International Paper Co. Shares Approach 52-Week Low - Market Mover
The shares closed 0.1% above its 52-week low of $39.64, with trading volume lower than its 30 day average",,,
Kwhen Finance,@kwhenfinance,2022-09-14T23:14:45.000Z,"Kwhen Finance
@kwhenfinance
·
Sep 15, 2022International Paper Co. Shares Approach 52-Week Low - Market Mover https://ayr.app/l/y4gP $IP #stockmarket #kwhenfinance
kwhen.com
Kwhen - International Paper Co. Shares Approach 52-Week Low - Market Mover
The shares closed 0.1% above its 52-week low of $39.64, with trading volume lower than its 30 day average",,,
SADIF - Analytics,@SADIFAnalytics,2022-09-13T19:48:53.000Z,"SADIF - Analytics
@SADIFAnalytics
·
Sep 13, 2022Will International Paper Co Deliver Long-Term Returns? $IP https://sadifanalytics.com/research/47279",,,
ATΩ Rose-Hulman,@ATORose,2022-09-13T14:43:42.000Z,"ATΩ Rose-Hulman
@ATORose
·
Sep 13, 2022ATΩ Internships 2022
* Ford Motor Co
* Walsh Construction
* The Libman Company
* Indiana Department of  Transportation
* International Paper
* Amcor 
* Reliance Robotics
* Boston Scientific 
* TMS Cardiff-Gas
* Thermo Fisher Scientific
* Woolpert
* Honeywell Intelligrated
1
6",1.0,,6.0
Stock Market News,@Stock_Market_Pr,2022-08-24T21:41:11.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 24, 2022International Paper Co. stock falls Wednesday, underperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-falls-wednesday-underperforms-market-01661374827-4c190d897e3a?utm_source=dlvr.it&utm_medium=twitter…",,,
All Files&News,@AllFilesNews1,2022-08-24T12:21:15.000Z,"All Files&News
@AllFilesNews1
·
Aug 24, 2022United States Reaches Settlement with Honeywell International Inc. and International Paper Co. for Cleanup of Contaminated Soils and Sediments at North Carolina Superfund Site | OPA | Department of Justice https://cutt.ly/rXUhjNC",,,
Stock Market News,@Stock_Market_Pr,2022-08-24T00:53:04.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 24, 2022International Paper Co. stock outperforms market on strong trading day - MarketWatch https://marketwatch.com/story/international-paper-co-stock-outperforms-market-on-strong-trading-day-01661288396-f5436e24038f?utm_source=dlvr.it&utm_medium=twitter…",,,
LinkeWire News,@linkewire,2022-08-23T12:45:54.000Z,"LinkeWire News
@linkewire
·
Aug 23, 2022E-commerce Packaging Market Pegged for Robust Expansion During 2021-2031 | International Paper Company, Nippon Paper Industries Co. Ltd., Smurfit Kappa Group, DS Smith Plc.
linkewire.com
E-commerce Packaging Market Pegged for Robust Expansion During 2021-2031 | International Paper...
New York, According to a new market research report published by Global Insight Services ""E-commerce Packaging Market"" is expected to reach US$ XX bn by 2031.",,,
Stock Market News,@Stock_Market_Pr,2022-08-22T22:41:39.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 23, 2022International Paper Co. stock falls Monday, underperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-falls-monday-underperforms-market-01661202005-83fb3342bf53?utm_source=dlvr.it&utm_medium=twitter…",,,
FormWhispers,@formwhisperscom,2022-08-17T03:25:12.000Z,"FormWhispers
@formwhisperscom
·
Aug 17, 2022#FWSells $IP Goughnour Holly G., Vice President & Controller of INTERNATIONAL PAPER CO /NEW/ sold 2,155 shares on 2022-08-16. https://formwhispers.com/s?t=IP",,,
Stock Market News,@Stock_Market_Pr,2022-08-16T23:07:08.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 17, 2022International Paper Co. stock rises Tuesday, outperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-rises-tuesday-outperforms-market-01660683600-19d32fd55550?utm_source=dlvr.it&utm_medium=twitter…",,,
Insider Alerts,@InsiderAlerts4U,2022-08-16T21:47:29.000Z,"Insider Alerts
@InsiderAlerts4U
·
Aug 16, 2022$IP:

New Insider Filing on INTERNATIONAL PAPER CO /NEW/'s

Vice President & Controller

HOLLY G. GOUGHNOUR:

https://insideri.com/51434_000112760222021058_0001127602-22-021058…",,,
Stock Market News,@Stock_Market_Pr,2022-08-13T00:12:36.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 13, 2022International Paper Co. stock rises Friday, outperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-rises-friday-outperforms-market-01660337996-a63c26c4958f?utm_source=dlvr.it&utm_medium=twitter…",,,
STCK.PRO,@StckPro,2022-08-02T01:51:24.000Z,"STCK.PRO
@StckPro
·
Aug 2, 2022$IP $ECL $GEL NEW ARTICLE : Analysts Have Conflicting Sentiments on These Materials Companies: Ecolab (ECL), Genesis Energy (GEL) and International Paper Co (IP) https://stck.pro/news/IP/32243286… Get all the latest $IP related news here : https://stck.pro/news/IP
stck.pro
IP : Analysts Have Conflicting Sentiments on These Materials Companies: Ecolab (ECL), Genesis...
Companies in the Materials sector have received a lot of coverage today as analysts weigh in on Ecolab (ECL – Research Report), Genesis Energy (GEL – Research Report) and International Paper Co (IP...",,,
Stock Market News,@Stock_Market_Pr,2022-08-01T22:37:06.000Z,"Stock Market News
@Stock_Market_Pr
·
Aug 2, 2022International Paper Co. stock rises Monday, outperforms market - MarketWatch https://marketwatch.com/story/international-paper-co-stock-rises-monday-outperforms-market-01659387630-efad0f58f479?utm_source=dlvr.it&utm_medium=twitter…",,,
hickpop,@hickpopp,2022-07-30T17:37:38.000Z,"hickpop
@hickpopp
·
Jul 30, 2022Replying to 
@bendreyfuss
Someone with stock in International Paper Co.
1",,,1.0
PriceTarget Research Inc,@prctarget,2022-07-30T11:12:26.000Z,"PriceTarget Research Inc
@prctarget
·
Jul 30, 2022Alert: New Earnings Report (7/28/22)-International Paper Co (NYSE: IP). #StockAlert #InternationalPaper $IP #PriceTarget #NewEarningsReport
pricetargetresearch.com
Alert: New Earnings Report (7/28/22)-International Paper Co (NYSE: IP). - PriceTarget Research
International Paper Co (NYSE: IP) has reported earnings for its second fiscal quarter ending June 30.",,,
STCK.PRO,@StckPro,2022-07-29T13:45:33.000Z,"STCK.PRO
@StckPro
·
Jul 29, 2022$IP NEW ARTICLE : BMO Capital Thinks International Paper Co’s Stock is Going to Recover https://stck.pro/news/IP/32055756… Get all the latest $IP related news here : https://stck.pro/news/IP
stck.pro
IP : BMO Capital Thinks International Paper Co’s Stock is Going to Recover - STCK.PRO
In a report released today, Mark Wilde from BMO Capital maintained a Buy rating on International Paper Co (IP – Research Report), with a price target of $60.00. The company's shares closed last Fri...",,,
STCK.PRO,@StckPro,2022-07-28T20:23:09.000Z,"STCK.PRO
@StckPro
·
Jul 28, 2022$IP NEW ARTICLE : International Paper Co (IP) Gets a Sell Rating from KeyBanc https://stck.pro/news/IP/32015847… Get all the latest $IP related news here : https://stck.pro/news/IP
stck.pro
IP : International Paper Co (IP) Gets a Sell Rating from KeyBanc - STCK.PRO
KeyBanc analyst Adam Josephson maintained a Sell rating on International Paper Co (IP – Research Report) today and set a price target of $37.00. The company's shares closed last Thursday at $43.00,...",,,
MCS,@PowerMcs,2022-07-28T19:05:44.000Z,"MCS
@PowerMcs
·
Jul 28, 2022International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript
seekingalpha.com
International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript
International Paper Co (NYSE:NYSE:IP) Q2 2022 Earnings Conference Call July 28, 2022 10:00 AM ETCompany ParticipantsMark Nellessen - VP, IRMark Sutton - Chairman and CEOTimothy Nicholls -...",,,
Trade Today,@tradetoday9,2022-07-28T18:37:02.000Z,"Trade Today
@tradetoday9
·
Jul 28, 2022International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript https://tradetoday.co.in/international-paper-co-ip-ceo-mark-sutton-on-q2-2022-results-earnings-call-transcript/…",,,
Finnoexpert,@PophaleSamarth,2022-07-28T18:34:56.000Z,"Finnoexpert
@PophaleSamarth
·
Jul 28, 2022International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript
finnoexpert.com
International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript",,,
Seeking Alpha,@SeekingAlpha,2022-07-28T18:32:14.000Z,"Seeking Alpha
@SeekingAlpha
·
Jul 28, 2022$IP $INPAP - International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript. https://seekingalpha.com/article/4527016-international-paper-co-ip-ceo-mark-sutton-on-q2-2022-results-earnings-call-transcript?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #stockmarket #economy #business
seekingalpha.com
International Paper Co (IP) CEO Mark Sutton on Q2 2022 Results Earnings Call Transcript
International Paper Co (NYSE:NYSE:IP) Q2 2022 Earnings Conference Call July 28, 2022 10:00 AM ETCompany ParticipantsMark Nellessen - VP, IRMark Sutton - Chairman and CEOTimothy Nicholls -...",,,
