User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
John,@therealjohnchao,2022-09-29T14:35:13.000Z,"John
@therealjohnchao
·
Sep 29, 2022Marathon Petroleum Corp Technical Analysis | $MPC Price Predictions

Not Financial Advice!
1:19
18 views
1
1",1,,1
stocksoftheday,@stocksoftheday1,2022-09-28T21:30:58.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 28, 2022$MPC Marathon Petroleum Corp is shooting through the roof with a +7.80% increase today!",,,
Aiolux,@aiolux,2022-09-28T17:15:08.000Z,"Aiolux
@aiolux
·
Sep 28, 2022Uncommon #Seasonality Pattern for $MPC Marathon Petroleum Corp. indicates that prior October performance (historical calendar month) has a median of +6.7% and is up 90% of the time #stocks #Energy #OilRefining #Marketing #TradeIdeas #Backtest #Patterns #Trading
1",1,,
Investing.com Stocks,@InvestingStockz,2022-09-28T16:45:02.000Z,"Investing.com Stocks
@InvestingStockz
·
Sep 28, 2022Marathon Petroleum Corp., $MPC, is up 5.2% -
investing.com
Marathon Petroleum Stock Price Today | NYSE MPC Live Ticker - Investing.com
View today's Marathon Petroleum Corp stock price and latest MPC news and analysis. Create real-time notifications to follow any changes in the live stock price.",,,
Superior Invest,@SuprInvest,2022-09-28T15:55:06.000Z,"Superior Invest
@SuprInvest
·
Sep 28, 2022Marathon Petroleum Corp’s 23% total return pushes shares higher https://superiorinvest.com/marathon-petroleum-corps-23-total-return-pushes-shares-higher/…",,,
"Christopher M. Uhl, CMA",@10minutetrading,2022-09-28T15:51:00.000Z,"Christopher M. Uhl, CMA
@10minutetrading
·
Sep 28, 2022Marathon Petroleum Corp's 23% Total Yield is Pushing the Stock Higher via Barchart ""
@barchart
""
barchart.com
Marathon Petroleum Corp's 23% Total Yield is Pushing the Stock Higher
Marathon Petroleum Corp has a huge 2.43% dividend yield and a 21% buyback yield, giving it a 23.4% total yield for shareholders. This is acting to push the stock higher from its depressed levels.
2",,,2
Alex Mansour,@MANSOURSTOCKS_,2022-09-28T13:54:58.000Z,"Alex Mansour
@MANSOURSTOCKS_
·
Sep 28, 2022US petroleum energy companies: Marathon Petroleum Corp: +3.7%, Valero Energy Corp: +3.35%
Fertiliser firm CF Industries: +6.1% + Agriculture company Mosaic Co: +4.15%
Low: Keurig Dr Pepper: -3.51%, Colgate-Palmolive: -3.37%, Kraft Heinz Co: -3.26%, Domino's Pizza: -3.25%
1",,,1
stocksoftheday,@stocksoftheday1,2022-09-27T21:31:35.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 27, 2022$MPC Marathon Petroleum Corp saw an increase of +3.70% today!",,,
New Constructs,@NewConstructs,2022-09-27T20:09:58.000Z,"New Constructs
@NewConstructs
·
Sep 27, 2022Exxon Mobil $XOM, Chevron Corporation $CVX, ConocoPhillips $COP, Occidental Petroleum Corp $OXY, and Marathon Petroleum $MPC make up 65% of the Energy sector’s Core Earnings.
1
1",1,,1
The Energia - All About Energy Sector,@TheEnergia,2022-09-26T14:54:37.000Z,"The Energia - All About Energy Sector
@TheEnergia
·
Sep 26, 2022Marathon Petroleum Corp: 600+ pounds of food helps the fight against hunger in Galveston County
theenergia.com
Marathon Petroleum Corp: 600+ pounds of food helps the fight against hunger in Galveston County -...
Employees from the Health, Environmental, Safety & Security (HESS) department at Marathon Petroleum’s Galveston Bay refinery in Texas recently came together to collect 655 pounds of food to support...",,,
