User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ken Kirk-Dr.Reefer-Alberta Marijuana Party #fella,@KenKirk07647736,2022-09-29T22:33:48.000Z,"Ken Kirk-Dr.Reefer-Alberta Marijuana Party #fella
@KenKirk07647736
·
Sep 30, 2022Very educational
#Environment #EnvironmentalJustice #ClimateChange #ClimateCrisis #Climate #Chevron #BP #Shell #TransCanada #Enbridge #Suncor #ImperialOil #SaudiAramco #PetroChina #ExxonMobil #TotalEnergies #Marathon #Valero #Phillips66 #Oil #OilandGas #ChevronStopSponsoringJunta
1:27
41 views
1",,,1
MiCo Republic,@micorepublic,2022-09-29T20:52:06.000Z,"MiCo Republic
@micorepublic
·
Sep 29, 2022The Louisburg Police Department is turning to the public for assistance in tracking down the driver who damaged a fuel pump at the Phillips 66 at 304 S. Metcalf Road on Thursday morning.
republic-online.com
Louisburg Police seeking driver who damaged fuel pump
LOUISBURG – The Louisburg Police Department is turning to the public for assistance in tracking down the driver who damaged a fuel pump at the Phillips 66 at 304 S.
1
1",,1,1
mxgonzo,@mxgonzo2,2022-09-29T20:02:09.000Z,"mxgonzo
@mxgonzo2
·
Sep 29, 2022We at 
@Chevron
 don't actually give a single f*ck about you. 

 Neither does 
@bp_plc
, 
@royaldutchshell
, 
@exxonmobil
, Saudiaramco, 
@Gazprom
 or 
@Phillips66
. 

But #DrillBabyDrill right?
Seth Abramson
@SethAbramson
·
Sep 29, 2022
Best. Commercial. *Ever*.

Retweet everywhere. Share everywhere. Discuss everywhere. https://twitter.com/i/status/1575538762825637888/video/1…",,,
MrMax,@MrMaxWeed,2022-09-29T18:51:23.000Z,"MrMax
@MrMaxWeed
·
Sep 29, 2022Mark Lashier is the CEO of Phillips 66.
He is why the world is on fire and/or underwater.
phillips66.com
Home
Our vision is to provide energy and improve lives. We are excited about the future of energy and helping the world move forward.",,,
HYTORC VIET NAM,@HytorcN,2022-09-29T01:51:33.000Z,"HYTORC VIET NAM
@HytorcN
·
Sep 29, 2022Time saving Case Study for Washers at Phillips 66
installation of HYTORC washers
- Number of bolts: 60
- Diameter: 1 5/8” bolts
Total Tightening Time: less than 60 minutes
Parallel Closure Tools Used: BTM-3000 QTY 2 at parallel (Lithium Torque Guns).",,,
Via News,@ViaNewsAgency,2022-09-28T23:57:19.000Z,"Via News
@ViaNewsAgency
·
Sep 29, 2022Phillips 66 Stock 6.82% Up Today
https://via.news/markets/phillips-66-stock-6-82-up-today/…
(VIANEWS) - The NYSE ended the session with Phillips 66 rising 6.82% to $81.42 on Wednesday, after two sequential sessions in a row of gains. NYSE jumped 2.15% to $13,833.18, after fiv...",,,
stocksoftheday,@stocksoftheday1,2022-09-28T21:30:59.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 28, 2022$PSX Phillips 66 is shooting through the roof with a +6.80% increase today!",,,
Hot-Stock,@HotStock12,2022-09-28T20:24:12.000Z,"Hot-Stock
@HotStock12
·
Sep 28, 2022$PSX Stock Trading Ideas | (NYSE) Stock Rating Changed to Sell: Phillips 66. >>
ultraalgo.com
Stock Trading Ideas for Stocks, ETFs, Forex and Futures
Stock Trading Ideas to optimize portfolio performance with algorithms. Leverage the same tools used by High Frequency Traders to beat the market. ",,,
Lola Garcia,@LolaGarcia13,2022-09-28T20:12:39.000Z,"Lola Garcia
@LolaGarcia13
·
Sep 28, 2022Replying to 
@p_anaya75
 and 
@StephenM
If you could read more letters than just Q, you would see it's Phillips 66. I'm sure you're very happy paying more. 
Viva Capitalism!
2",2,,
hotchipbot,@hotchipbot1,2022-09-28T18:35:50.000Z,"hotchipbot
@hotchipbot1
·
Sep 28, 2022any female born after 1986 can’t dare... all they know is phillips 66 , note they nylon, wait, be intemperate , eat hot chip & lie",,,
