User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
$Stocknewsalerts,@Allstocknews,2019-07-25T22:18:54.000Z,"$Stocknewsalerts
@Allstocknews
·
Jul 26, 2019$SUSP Sunoco LP - Q2 2019 Earnings Conference Call
From our Stock News Alerts App",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-25T22:15:45.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 26, 2019当社子会社による米国Sunoco LP 社からの一部事業取得に関するお知らせ http://7andi.com/company/news/release/002650.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-25T22:15:31.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 26, 2019当社子会社による米国Sunoco LP社からの一部事業取得時期に関するお知らせ http://7andi.com/company/news/release/002820.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-25T22:15:28.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 26, 2019当社子会社による米国Sunoco LP社からの一部事業取得時期に関するお知らせ http://7andi.com/company/news/release/002853.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-25T22:15:26.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 26, 2019当社子会社による米国 Sunoco LP 社からの一部事業取得完了に関するお知らせ http://7andi.com/company/news/release/002890.html…",,,
Dakota Financial,@dakotafinancial,2019-07-25T21:57:21.000Z,"Dakota Financial
@dakotafinancial
·
Jul 25, 2019Sunoco LP $SUN Declares Quarterly Dividend of $0.83 http://dakotafinancialnews.com/?p=1082615",,,
WKRB News,@WKRBNews,2019-07-25T21:56:08.000Z,"WKRB News
@WKRBNews
·
Jul 25, 2019Sunoco LP $SUN Declares Quarterly Dividend of $0.83 http://wkrb13.com/?p=1152807 #markets",,,
Seeking Alpha Market News,@MarketCurrents,2019-07-25T21:21:47.000Z,"Seeking Alpha Market News
@MarketCurrents
·
Jul 25, 2019$SUN - Sunoco LP declares $0.8255 dividend
seekingalpha.com
Sunoco LP declares $0.8255 dividend (NYSE:SUN)
Sunoco LP (NYSE:SUN) declares $0.8255/share quarterly dividend, in line with previous.Forward yield 9.79%Payable Aug. 14; for shareholders of record Aug. 6; ex-div Aug.",,,
$Stocknewsalerts,@Allstocknews,2019-07-25T21:12:07.000Z,"$Stocknewsalerts
@Allstocknews
·
Jul 25, 2019$SUSP Sunoco LP - Sunoco LP Maintains Quarterly Distribution
From our Stock News Alerts App",,,
Flash Alert,@FlashAlert_me,2019-07-25T21:09:32.000Z,"Flash Alert
@FlashAlert_me
·
Jul 25, 2019$SUN: Press Release published article on July 25, 17:03:00: Sunoco LP Maintains Quarterly Distribution https://s.flashalert.me/RZOrfF",,,
Community Financial,@CFinancialNews,2019-07-25T02:18:11.000Z,"Community Financial
@CFinancialNews
·
Jul 25, 2019Zacks: Brokerages Expect Sunoco LP $SUN Will Post Earnings of $0.74 Per Share http://americanbankingnews.com/?p=11155938 #markets",,,
US Banking News,@AmericanBanking,2019-07-25T02:18:10.000Z,"US Banking News
@AmericanBanking
·
Jul 25, 2019Zacks: Brokerages Expect Sunoco LP $SUN Will Post Earnings of $0.74 Per Share http://americanbankingnews.com/?p=11155938 #stocks",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-24T22:15:50.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 25, 2019当社子会社による米国Sunoco LP 社からの一部事業取得に関するお知らせ http://7andi.com/company/news/release/002650.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-24T22:15:34.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 25, 2019当社子会社による米国Sunoco LP社からの一部事業取得時期に関するお知らせ http://7andi.com/company/news/release/002820.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-24T22:15:31.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 25, 2019当社子会社による米国Sunoco LP社からの一部事業取得時期に関するお知らせ http://7andi.com/company/news/release/002853.html…",,,
業界ニュース(流通・小売店),@ryuutuu19,2019-07-24T22:15:28.000Z,"業界ニュース(流通・小売店)
@ryuutuu19
·
Jul 25, 2019当社子会社による米国 Sunoco LP 社からの一部事業取得完了に関するお知らせ http://7andi.com/company/news/release/002890.html…",,,
