User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
stocksoftheday,@stocksoftheday1,2022-09-28T21:30:58.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 28, 2022$VLO Valero Energy Corp is shooting through the roof with a +7.54% increase today!",,,
CentralCharts NL,@CentralchartsNL,2022-09-28T16:35:36.000Z,"CentralCharts NL
@CentralchartsNL
·
Sep 28, 2022$VLO #VALEROENERGY - Dagelijks: Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op VALERO ENERGY CORP....
centralcharts.com
VALERO ENERGY CORP. - Dagelijks - Technische Analyse gepubliceerd op 28-09-2022 (GMT)
Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op VALERO ENERGY CORP. zolang de...",,,
Athenia IA,@Athenia_IA,2022-09-28T16:35:36.000Z,"Athenia IA
@Athenia_IA
·
Sep 28, 2022$VLO #VALEROENERGY - Dagelijks: Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op VALERO ENERGY CORP....
centralcharts.com
VALERO ENERGY CORP. - Dagelijks - Technische Analyse gepubliceerd op 28-09-2022 (GMT)
Alle elementen zijn duidelijk bearish, het zou voor traders mogelijk zijn om alleen shortposities (ter verkoop) te handelen op VALERO ENERGY CORP. zolang de...",,,
Alex Mansour,@MANSOURSTOCKS_,2022-09-28T13:54:58.000Z,"Alex Mansour
@MANSOURSTOCKS_
·
Sep 28, 2022US petroleum energy companies: Marathon Petroleum Corp: +3.7%, Valero Energy Corp: +3.35%
Fertiliser firm CF Industries: +6.1% + Agriculture company Mosaic Co: +4.15%
Low: Keurig Dr Pepper: -3.51%, Colgate-Palmolive: -3.37%, Kraft Heinz Co: -3.26%, Domino's Pizza: -3.25%
1",,,1
stocksoftheday,@stocksoftheday1,2022-09-27T21:31:41.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 27, 2022$VLO Valero Energy Corp saw an increase of +3.35% today!",,,
Hot-Stock,@HotStock12,2022-09-27T16:32:15.000Z,"Hot-Stock
@HotStock12
·
Sep 27, 2022$VLO Day Trading | (NYSE) Stock Rating Changed to Sell: Valero Energy Corp. >>
ultraalgo.com
Stock Trading Ideas for Stocks, ETFs, Forex and Futures
Stock Trading Ideas to optimize portfolio performance with algorithms. Leverage the same tools used by High Frequency Traders to beat the market. ",,,
Market Newswire,@Market_Newswire,2022-09-26T20:38:58.000Z,"Market Newswire
@Market_Newswire
·
Sep 26, 2022$VLO SEC Filing: 8-K Reg FD - VALERO ENERGY CORP/TX (0001035002) September 26
marketnewswire.live
8-K Reg FD - VALERO ENERGY CORP/TX (0001035002) September 26 - Market Newswire
Item 7.01 Regulation FD Disclosure. The Human Resources and Compensation Committee (the “Committee”) of the Board of Directors of Valero Energy Corporation (“Valero”) has approved several prospective...",,,
Sustellers,@sustellers,2022-09-21T14:13:57.000Z,"Sustellers
@sustellers
·
Sep 21, 2022(Reuters) - Oil refiners Valero Energy Corp (VLO.N) and Marathon Petroleum Corp (MPC.N) are the biggest beneficiaries of the U.S. government's oil reserve releases, taking nearly half the crude offered, a Reuters analysis of Department of Energy data showed on Wednesday.",,,
SADIF - Analytics,@SADIFAnalytics,2022-09-20T15:12:24.000Z,"SADIF - Analytics
@SADIFAnalytics
·
Sep 20, 2022Is There Long-Term Value in Valero Energy Corp? $VLO https://sadifanalytics.com/research/48177",,,
stocksoftheday,@stocksoftheday1,2022-09-15T21:30:59.000Z,"stocksoftheday
@stocksoftheday1
·
Sep 15, 2022$VLO Valero Energy Corp is falling fast! It's down -4.04% today!",,,
