User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alessandro Bellese,ale_bellese,2017-12-06,2017 and who knew that 17thplace weyerhaeuser co wy  would score in the top 1 of companies in terms of innovation,0.0,0.0,0.0
StockTrot,stocktrot,2017-12-09,20173244695 largest selloff of weyerhaeuser co shares for hagen russell s in 8 months,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-13,2017as weyerhaeuser co wy market valuation declined blair william  company boosted stake by 108 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-08,2017as weyerhaeuser co wy share price declined sterling investment management lowered stake by 102 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-05,2017as weyerhaeuser co wy stock declined hamlin capital management lowered its position by 131 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-23,2017as weyerhaeuser co wy stock declined holder caprock group trimmed by 359238 its stake,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2017-12-09,2017asset management one co ltd buys 7084 shares of weyerhaeuser company wy,0.0,0.0,0.0
MarketBeat,MarketBeatCom,2017-12-25,2017atlantic trust group llc purchases 27233 shares of weyerhaeuser co wy,0.0,0.0,0.0
Noodles Bee,Noodles398Bee14,2017-11-15,2017azimuth capital management has upped weyerhaeuser co wy stake by 326337 noodles,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-12-31,2017boston family office has cut weyerhaeuser co wy position by 886278 as stock value declined,0.0,0.0,0.0
Vladimir de BERTREN,BeLikeADiamond,2017-11-13,2017brant point investment management trimmed by 231 million its weyerhaeuser co wy stake,0.0,0.0,0.0
Storm Investor,storminvestor,2017-12-23,2017cubist systematic strategies llc acquires 11779 shares of weyerhaeuser co wy,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-09,2017eagle ridge investment management has boosted weyerhaeuser co wy holding by 435369 as share value declined,0.0,0.0,0.0
Watchlist News,WatchlistN,2017-11-10,2017fiduciary trust co has 138 million stake in weyerhaeuser company wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2017-11-15,2017first national trust co has 398000 stake in weyerhaeuser company wy,0.0,0.0,0.0
Albert Dodd,AlbertDodd,2017-11-06,2017grandfield  dodd llc buys weyerhaeuser co us bancorp mt bank corp,0.0,0.0,0.0
Investors,businessinvesto,2017-11-03,2017grandfield  dodd llc buys weyerhaeuser co us bancorp mt bank corp sells emerson,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-09,2017gruss capital management lp has boosted its weyerhaeuser co put wy position by 3003 million as market v,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-12-19,2017hamlin capital management trimmed position in weyerhaeuser co wy as valuation declined,0.0,0.0,0.0
Ticker Report,TickerReport,2017-11-04,2017korea investment corp sells 21900 shares of weyerhaeuser co wy,0.0,0.0,0.0
TheExtraIncome,TheExtraIncome,2017-10-31,2017largest  trades of the month  co,0.0,0.0,0.0
Connections Magazine,ConnectionsMS,2017-11-03,2017neshoba engineering students tour weyerhaeuser co  the neshoba democrat  philadelphia mississippi,0.0,0.0,0.0
Watchlist News,WatchlistN,2017-11-18,2017putnam fl investment management co purchases shares of 16970 weyerhaeuser company wy,0.0,0.0,0.0
Date Elementary,FUSD_Date,2017-12-15,2017thank you weyerhaeuser co and quadgraphics for making our date students so happy celebrating with them christmas in the classroom 1,0.0,0.0,1.0
Luana Martins Castro,martinscastro1k,2017-11-08,2017the marble harbor investment counsel llc reached 506000 position of weyerhaeuser co wy,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-12-05,2017weyerhaeuser co wy holder caprock group decreased its holding as market valuation declined,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-24,2017weyerhaeuser co wy shareholder sterling investment management decreased its stake,0.0,0.0,0.0
WKRB News,WKRBNews,2017-11-23,2017weyerhaeuser company wy holdings trimmed by oppenheimer  co inc,0.0,0.0,0.0
Storm Investor,storminvestor,2017-12-04,2017weyerhaeuser company wy position boosted by bluestein r h  co,0.0,0.0,0.0
Transcript Daily,TranscriptDaily,2017-11-05,2017weyerhaeuser company wy position lowered by washington trust co,0.0,0.0,0.0
MidEast Times,midetimes,2017-11-10,2017weyerhaeuser company wy position reduced by birmingham capital management co inc al,0.0,0.0,0.0
Daily Political,dailypoliticaln,2017-11-22,2017weyerhaeuser company wy shares sold by cannell peter b  co inc,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2017-11-22,2017weyerhaeuser company wy stake increased by meiji yasuda asset management co ltd,0.0,0.0,0.0
Transcript Daily,TranscriptDaily,2017-12-04,2017weyerhaeuser company wy stake lowered by waters parkerson  co llc,0.0,0.0,0.0
The Market is Open,themarketisopen,2017-12-10,2017wy analytical review of weyerhaeuser co nysewy  1 1,0.0,1.0,1.0
Deep Dive,deepxdive,2017-12-20,2017wy weyerhaeuser co breached its 50 day moving average in a bearish manner   wyus   december 20 2017,0.0,0.0,0.0
Deep Dive,deepxdive,2017-12-05,2017wy weyerhaeuser co breached its 50 day moving average in a bearish manner   wyus   december 5 2017,0.0,0.0,0.0
Stockflare US Page,StockflareUS,2017-12-23,2017wy weyerhaeuser co has gained a star now a 3 star stock,0.0,0.0,0.0
The Market is Open,themarketisopen,2017-11-06,2017wy weyerhaeuser company nysewy stake increased by trust co of vermont,0.0,0.0,0.0
Lending Alpha,LendingAlpha,2018-01-14,2018  american trust investment advisors lowered weyerhaeuser co wy stake by 595306 as share,0.0,0.0,0.0
SeqComplete,SeqComplete,2018-01-14,2018  coldstream capital management has boosted weyerhaeuser co wy holding aethlon medical,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-02-27,2018033 eps expected for weyerhaeuser co wy this quarter,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-31,201814967 shares in weyerhaeuser co wy purchased by pineno levin  ford asset management inc,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-02-28,2018179 billion in sales expected for weyerhaeuser co wy this quarter,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-16,201832615 shares in weyerhaeuser co wy purchased by orleans capital management corp la,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-20,20187739 shares in weyerhaeuser co wy acquired by capital investment advisors llc,0.0,0.0,0.0
WKRB News,WKRBNews,2018-01-31,201883010 shares in weyerhaeuser co wy purchased by twin capital management inc,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-23,2018allen capital group llc acquires new position in weyerhaeuser co wy,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-03-13,2018alliancebernstein lp has 5493 million position in weyerhaeuser co wy,0.0,0.0,0.0
