User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lending Alpha,LendingAlpha,2018-01-14,american trust investment advisors lowered weyerhaeuser co wy stake by 595306 as share,0.0,0.0,0.0
Alessandro Bellese,ale_bellese,2017-12-06,and who knew that 17thplace weyerhaeuser co wy would score in the top 1 of companies in terms of innovation,0.0,0.0,0.0
SeqComplete,SeqComplete,2018-01-14,coldstream capital management has boosted weyerhaeuser co wy holding aethlon medical,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-02-27,033 eps expected for weyerhaeuser co wy this quarter,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-31,14967 shares in weyerhaeuser co wy purchased by pineno levin ford asset management inc,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-02-28,179 billion in sales expected for weyerhaeuser co wy this quarter,0.0,0.0,0.0
StockTrot,stocktrot,2017-12-09,3244695 largest selloff of weyerhaeuser co shares for hagen russell s in 8 months,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-16,32615 shares in weyerhaeuser co wy purchased by orleans capital management corp la,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-20,7739 shares in weyerhaeuser co wy acquired by capital investment advisors llc,0.0,0.0,0.0
WKRB News,WKRBNews,2018-01-31,83010 shares in weyerhaeuser co wy purchased by twin capital management inc,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-23,allen capital group llc acquires new position in weyerhaeuser co wy,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-03-13,alliancebernstein lp has 5493 million position in weyerhaeuser co wy,0.0,0.0,0.0
Transcript Daily,TranscriptDaily,2018-03-03,amalgamated bank buys 8375 shares of weyerhaeuser co wy,0.0,0.0,0.0
Community Financial,CFinancialNews,2018-03-03,amalgamated bank has 332 million position in weyerhaeuser co wy,0.0,0.0,0.0
Dakota Financial,dakotafinancial,2018-02-14,american research management co raises position in weyerhaeuser co wy,0.0,0.0,0.0
James Sikes,wosaikeneriki,2018-02-03,american trust investment advisors has lowered its weyerhaeuser co wy stake as stock declined,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-02-05,american trust investment advisors llc has 136 million holdings in weyerhaeuser co wy,0.0,0.0,0.0
Dakota Financial,dakotafinancial,2018-02-23,amica mutual insurance co reduces stake in weyerhaeuser co wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2018-02-01,analysts expect weyerhaeuser co wy will post earnings of 035 per share,0.0,0.0,0.0
James Sikes,wosaikeneriki,2018-02-12,as schlumberger ltd slb share price declined glynn capital management increased its position grandfield dodd has lifted its weyerhaeuser co wy positi,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-13,as weyerhaeuser co wy market valuation declined blair william company boosted stake by 108 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-08,as weyerhaeuser co wy share price declined sterling investment management lowered stake by 102 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-05,as weyerhaeuser co wy stock declined hamlin capital management lowered its position by 131 million,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-11-23,as weyerhaeuser co wy stock declined holder caprock group trimmed by 359238 its stake,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2017-12-09,asset management one co ltd buys 7084 shares of weyerhaeuser company wy,0.0,0.0,0.0
MarketBeat,MarketBeatCom,2017-12-25,atlantic trust group llc purchases 27233 shares of weyerhaeuser co wy,0.0,0.0,0.0
Noodles Bee,Noodles398Bee14,2017-11-15,azimuth capital management has upped weyerhaeuser co wy stake by 326337 noodles,0.0,0.0,0.0
Dakota Financial,dakotafinancial,2018-03-10,baker avenue asset management lp raises position in weyerhaeuser co wy,0.0,0.0,0.0
WKRB News,WKRBNews,2018-01-30,baker ellis asset management llc trims position in weyerhaeuser co wy,0.0,0.0,0.0
James Sikes,wosaikeneriki,2018-02-17,banco macro sa bma share price rose while tt international has trimmed position by 338 million weyerhaeuser co wy stake increased by zwj investment counsel i,0.0,0.0,0.0
WKRB News,WKRBNews,2018-01-24,bank of montreal can has 2974 million stake in weyerhaeuser co wy,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-02-14,barings llc raises stake in weyerhaeuser co wy,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-09,bedel financial consulting inc buys shares of 11902 weyerhaeuser co wy,0.0,0.0,0.0
Dakota Financial,dakotafinancial,2018-02-08,bedell frazier investment counseling llc purchases 1886 shares of weyerhaeuser co wy,0.0,0.0,0.0
US Banking News,AmericanBanking,2018-03-04,bluestein r h co sells 70448 shares of weyerhaeuser co wy,0.0,0.0,0.0
The Lincolnian,ThisLincolnian,2018-01-29,bollard group llc has 1134 million position in weyerhaeuser co wy,0.0,0.0,0.0
James Sikes,wosaikeneriki,2017-12-31,boston family office has cut weyerhaeuser co wy position by 886278 as stock value declined,0.0,0.0,0.0
StocksPredictor,StocksPredictr,2018-03-05,bradley foster sargent inc ct reduces stake in weyerhaeuser co nysewy wy 1,0.0,1.0,0.0
Vladimir de BERTREN,BeLikeADiamond,2017-11-13,brant point investment management trimmed by 231 million its weyerhaeuser co wy stake,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-28,brokerages expect weyerhaeuser co wy will post quarterly sales of 179 billion,0.0,0.0,0.0
Storm Investor,storminvestor,2018-02-27,brokerages set weyerhaeuser co wy pt at 3783,0.0,0.0,0.0
"#hiswai",hiswai,2018-01-18,brookfield asset management has trimmed by 727 million its weyerhaeuser co wy stake cm,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-31,btr capital management inc grows position in weyerhaeuser co wy,0.0,0.0,0.0
Ticker Report,TickerReport,2018-02-28,buckingham asset management llc increases holdings in weyerhaeuser co wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2018-02-09,cadence capital management llc has 204 million stake in weyerhaeuser co wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2018-02-13,california public employees retirement system has 6818 million holdings in weyerhaeuser co wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2018-01-23,central trust co has 505 million holdings in weyerhaeuser co wy,0.0,0.0,0.0
Watchlist News,WatchlistN,2018-01-25,chevy chase trust holdings inc boosts holdings in weyerhaeuser co wy,0.0,0.0,0.0
Storm Investor,storminvestor,2018-02-07,cibc world markets inc acquires shares of 2466 weyerhaeuser co wy,0.0,0.0,0.0
The Lincolnian,ThisLincolnian,2018-02-07,cibc world markets inc buys new position in weyerhaeuser co wy,0.0,0.0,0.0
MarketBeat,MarketBeatCom,2018-01-09,confluence investment management llc acquires 2518 shares of weyerhaeuser co wy,0.0,0.0,0.0
The Markets Daily,TheMarketsDaily,2018-01-09,confluence investment management llc buys 2518 shares of weyerhaeuser co wy,0.0,0.0,0.0
Dakota Financial,dakotafinancial,2018-01-25,cornerstone advisors inc grows stake in weyerhaeuser co wy,0.0,0.0,0.0
The Lincolnian,ThisLincolnian,2018-01-24,creative planning has 224 million stake in weyerhaeuser co wy,0.0,0.0,0.0
Wayne Lopez,wayne_lopez,2018-03-09,croftleominster has decreased its weyerhaeuser co wy holding xpo logistics has 142,0.0,0.0,0.0
