User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
emailtheboss,emailtheboss,2020-05-06,"",0.0,0.0,0.0
Rocky Mountain Forest Products,RMFP_CO,2020-08-06,"",0.0,0.0,1.0
セルディト,stockinfo2110,2022-03-22,align technology inc  wells fargo  co  constellation energy corp  enphase energy inc   mosaic co  weyerhaeuser co  pfizer inc  hess corp,0.0,0.0,0.0
ETF Screener & Stock Picker,ETFsStockPicker,2019-12-05,is weyerhaeuser co wy going to burn these hedge funds,0.0,0.0,0.0
セルディト,stockinfo2110,2022-03-22,tesla inc  moderna inc  align technology inc  etsy inc   weyerhaeuser co  mosaic co  pfizer inc  hess corp,0.0,0.0,0.0
AJ Blackston - Financial IT Solutions Consultant,AJBlackston,2020-09-01,weyerhaeuser co  filer,0.0,0.0,0.0
Piri Ikkita,IkkitaPiri,2022-09-16,weyerhaeuser co shares close in on week low  market mover  wy   kwhencom kwhen  weyerhaeuser co shares close in on week low  market mover the shares closed just slightly above its week low of  with trading volume higher than its  day average,0.0,0.0,0.0
セルディト,stockinfo2110,2022-09-20,wynn resorts ltd  las vegas sands corp  moderna inc  humana inc   ford motor co  weyerhaeuser co  iron mountain inc  westrock co,0.0,0.0,0.0
ETF Screener & Stock Picker,ETFsStockPicker,2021-12-14,hedge funds are selling weyerhaeuser co wy,0.0,0.0,0.0
Lipper Leaders - Refinitiv,LipperLeaders,2021-07-13,picks for positive  q dow inc down union pacific corp unpn oreilly automotive inc orlyn tempur sealy international inc tpxn and weyerhaeuser co wyn,0.0,0.0,0.0
Lipper Alpha Insight - Refinitiv,Lipper_Alpha,2021-07-13,picks for positive  q dow inc down union pacific corp unpn oreilly automotive inc orlyn tempur sealy international inc tpxn and weyerhaeuser co wyn,0.0,7.0,0.0
Sustainable Forestry Initiative,sfiprogram,2022-08-12,certificate holders are among landowners  managers recognized for fish passage  habitat improvements in wa since  btg pactual fruit growers supply co    forest mgnt olympic timber,0.0,0.0,2.0
