User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Acquirer’s Multiple®,acquirersx,2022-09-29,The worst return in The Acquirers Multiple Large Cap Screener midweek is WY Weyerhaeuser Co down  percent to,0,0,1
𝕁𝕦𝕝𝕚𝕒 𝔻𝕠𝕦𝕘𝕙𝕥𝕪,julia_doughty,2022-09-28,Georgias biggest private landowner is Plum Creek which merged with Weyerhaeuser  Willamette Industries was a Fortune  forest products co based in Portland OR founded in  In  it was purchased by competitor Weyerhaeuser of Federal Way WA in a hostile buyout,1,1,1
Market Newswire,Market_Newswire,2022-09-28,WY SEC Filing K Reg FD  WEYERHAEUSER CO  September  marketnewswirelive K Reg FD  WEYERHAEUSER CO  September   Market Newswire Item  Regulation FD Disclosure Item  Financial Statements and Exhibits Signatures EXHIBIT  Investor presentation EXHIBIT  Cover page interactive data file embedded within the inline,0,0,0
Kwhen Finance,kwhenfinance,2022-09-28,Weyerhaeuser Co Shares Close in on Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Close in on Week Low  Market Mover The shares closed  above its week low of  with trading volume higher than its  day average,0,0,0
LinkeWire News,linkewire,2022-09-28,Plywood Market Industry Size Current Trend Competition Growth and Future Demands  Weyerhaeuser Company Eksons Corp Bhd Roseburg Forest Products Co Uniply Industries Ltd Boise Cascade LLC linkewirecom Plywood Market Industry Size Current Trend Competition Growth and Future Demands  Weyerhaeuser New York Global Plywood Market report from Global Insight Services is the single authoritative source of intelligence on Plywood Market The report will,0,0,0
Communist Stock Analysis,communiststocks,2022-09-25,Weyerhaeuser Co  WY  QUOTE WY was DOWN  on Fri Sep  Closed at  USD for a  loss from previous close     ANALYSIS Weyerhaeuser Co should be nationalized,0,0,0
Kwhen Finance,kwhenfinance,2022-09-24,Weyerhaeuser Co Shares Close in on Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Close in on Week Low  Market Mover The shares closed  above its week low of  with trading volume higher than its  day average,0,0,0
Portland Jobs with Justice,JwJpdx,2022-09-23,The CEO of    Devin Stockfish made m last year while asking workers to take unacceptable cuts Please come out to support the fighting Machinists as they strike against corporate greed    Sign up to join the line below  actaflcioorg Weyerhaeuser Picket Line Sign Up Use this form to sign up to attend a picket to support striking Weyerhaeuser workers in Oregon For a list of Washington locations please contact Chris Maxie at chris,0,0,1
セルディト,stockinfo2110,2022-09-20,Wynn Resorts Ltd  Las Vegas Sands Corp  Moderna Inc  Humana Inc   Ford Motor Co  Weyerhaeuser Co  Iron Mountain Inc  WestRock Co,0,0,0
Raymond Hyytinen,HyytinenRaymond,2022-09-20,Dont blame strikers at WEYERHAEUSER CO THEY ALSO TOOK AWAY HEALTHCARE BENEFITS FROM RETIRERS  NOT A GEORGE WEYERHAEUSER COMPANY ANY MORE,0,0,0
Kwhen Finance,kwhenfinance,2022-09-17,Weyerhaeuser Co Shares Near Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Near Week Low  Market Mover The shares closed  above its week low of  with trading volume higher than its  day average,0,0,0
Piri Ikkita,IkkitaPiri,2022-09-16,Weyerhaeuser Co Shares Close in on Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Close in on Week Low  Market Mover The shares closed just slightly above its week low of  with trading volume higher than its  day average,0,0,0
Kwhen Finance,kwhenfinance,2022-09-16,Weyerhaeuser Co Shares Close in on Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Close in on Week Low  Market Mover The shares closed just slightly above its week low of  with trading volume higher than its  day average,0,0,0
Communist Stock Analysis,communiststocks,2022-09-15,Weyerhaeuser Co  WY  QUOTE WY was DOWN  on Wed Sep  Closed at  USD for a  loss from previous close     ANALYSIS Weyerhaeuser Co should be nationalized,0,0,0
Kwhen Finance,kwhenfinance,2022-09-14,Weyerhaeuser Co Shares Fall  Below Previous Week Low  Market Mover  WY   kwhencom Kwhen  Weyerhaeuser Co Shares Fall  Below Previous Week Low  Market Mover The shares fell  lower than its previous week low of  with trading volume higher than its  day average,0,0,0
Breaking PDX News,breakingPDXnews,2022-09-14,Union workers at timber giant Weyerhaeuser Co go on strike More than  Weyerhaeuser workers are members of the union,0,0,0
Cindi R S,Cindi2luu2whoo,2022-09-13,Weyerhaeuser Co workers in WashingtonOregon overwhelmingly voted this month to give its union strike authority the first step before employees stop working due to disagreements about what the union says is low pay and benefits during the companys recordbreaking earnings,0,0,0
Cindi R S,Cindi2luu2whoo,2022-09-13,Well our Weyerhaeuser Co just went on strike Thousands are out of work in the state of Washington So sad This company profited million in  Just more rich companies taking advantage of our middle class workers,1,0,4
The Daily News,the_daily_news,2022-09-13,Dozens of woodworkers picketed outside the Weyerhaeuser Co gate at the intersection of Industrial Way and Washington Way on the first day of the unions strike Tuesday morning  the tdncom UPDATE Weyerhaeuser woodworkers in Longview strike for first time in  years In a city built on the backs of lumber employees unionized Weyerhaeuser woodworkers are striking for the first time in  years saying Longviews once familyfocused company is now more,1,4,3
