User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment
ResearchPool,@ResearchPool,2019-02-19T23:49:11.000Z,"ResearchPool
@ResearchPool
·
Feb 20, 2019$FMC #FMC Corp. 4 directors sold after exercising options/sold: Four Directors at FMC Corp sold after exercising options/sold 155,970 shares at between 84.339USD and 84.680USD. The significance rating of the trade was 100/100. Is that information… http://dlvr.it/QzG7WB",,,,neutral
ResearchPool,@ResearchPool,2019-02-19T22:57:07.000Z,"ResearchPool
@ResearchPool
·
Feb 19, 2019$FMC #FMC Corp. 3 directors sold after exercising options/sold: Three Directors at FMC Corp sold after exercising options/sold 61,546 shares at between 84.380USD and 84.680USD. The significance rating of the trade was 85/100. Is that information… http://dlvr.it/QzG05W",,,,neutral
James T. Alfred,@jamestalfred,2019-02-19T22:49:44.000Z,"James T. Alfred
@jamestalfred
·
Feb 19, 2019My first job out of college was with the 
@FMCCorp
 I was a young bright shinning star when we met. Twenty three years later we’re both still standing. How YOU doing? #wasntmadeforeverybody
1
1",,1.0,1.0,neutral
Community Financial,@CFinancialNews,2019-02-19T22:22:03.000Z,"Community Financial
@CFinancialNews
·
Feb 19, 2019Pierre R. Brondeau Sells 94,424 Shares of FMC Corp $FMC Stock http://americanbankingnews.com/?p=9576912 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-19T22:22:02.000Z,"US Banking News
@AmericanBanking
·
Feb 19, 2019Pierre R. Brondeau Sells 94,424 Shares of FMC Corp $FMC Stock http://americanbankingnews.com/?p=9576912 #stocks",,,,neutral
Community Financial,@CFinancialNews,2019-02-19T22:21:46.000Z,"Community Financial
@CFinancialNews
·
Feb 19, 2019FMC Corp $FMC VP Sells $2,570,856.96 in Stock http://americanbankingnews.com/?p=9576932 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-19T22:21:45.000Z,"US Banking News
@AmericanBanking
·
Feb 19, 2019FMC Corp $FMC VP Sells $2,570,856.96 in Stock http://americanbankingnews.com/?p=9576932 #stocks",,,,neutral
MidEast Times,@midetimes,2019-02-19T22:20:49.000Z,"MidEast Times
@midetimes
·
Feb 19, 2019FMC Corp $FMC VP Sells $2,570,856.96 in Stock http://dailypolitical.com/?p=2732431 #stocks",,,,neutral
Daily Political,@dailypoliticaln,2019-02-19T22:20:48.000Z,"Daily Political
@dailypoliticaln
·
Feb 19, 2019FMC Corp $FMC VP Sells $2,570,856.96 in Stock http://dailypolitical.com/?p=2732431",,,,neutral
National FFA,@NationalFFA,2019-02-19T15:13:15.000Z,"National FFA
@NationalFFA
·
Feb 19, 2019Thanks for your support 
@FMCCorp
 - and thanks for starting our morning with 
@eastoncorbin
 #GiveFFADay
FMC Corporation
@FMCCorp
·
Feb 19, 2019
Today is #GIVEFFADAY. Watch this PSA, brought to you by proud FFA alumna @eastoncorbin on why he’s made a commitment to give to the @FFAfoundation
#FFAJUSTONE
4
21",,4.0,21.0,neutral
FMC Corporation,@FMCCorp,2019-02-19T13:00:40.000Z,"FMC Corporation
@FMCCorp
·
Feb 19, 2019Today is #GIVEFFADAY. Watch this PSA, brought to you by proud FFA alumna 
@eastoncorbin
 on why he’s made a commitment to give to the 
@FFAfoundation
#FFAJUSTONE
7
20",,7.0,20.0,neutral
Ticker Report,@TickerReport,2019-02-19T08:18:14.000Z,"Ticker Report
@TickerReport
·
Feb 19, 2019FMC Corp to Post FY2019 Earnings of $5.67 Per Share, Seaport Global Securities Forecasts $FMC http://tickerreport.com/?p=4162528",,,,neutral
Watchlist News,@WatchlistN,2019-02-19T08:15:36.000Z,"Watchlist News
@WatchlistN
·
Feb 19, 2019FY2019 EPS Estimates for FMC Corp $FMC Lifted by KeyCorp http://zpr.io/gXMt6",,,,neutral
MarketBeat,@MarketBeatCom,2019-02-19T08:15:06.000Z,"MarketBeat
@MarketBeatCom
·
Feb 19, 2019Gabelli Analysts Increase Earnings Estimates for FMC Corp $FMC http://zpr.io/gXMg5",,,,neutral
MidEast Times,@midetimes,2019-02-19T08:12:54.000Z,"MidEast Times
@midetimes
·
Feb 19, 2019FMC Corp to Post FY2019 Earnings of $5.67 Per Share, Seaport Global Securities Forecasts $FMC http://dailypolitical.com/?p=2730682 #stocks",,,,neutral
Daily Political,@dailypoliticaln,2019-02-19T08:12:52.000Z,"Daily Political
@dailypoliticaln
·
Feb 19, 2019FMC Corp to Post FY2019 Earnings of $5.67 Per Share, Seaport Global Securities Forecasts $FMC http://dailypolitical.com/?p=2730682",,,,neutral
Laurie Tieckelmann,@LTieckelmann,2019-02-19T00:27:02.000Z,"Laurie Tieckelmann
@LTieckelmann
·
Feb 19, 2019Replying to 
@amygoshea
 @mizzouguy
 and 3 others
What awful news.  Prayers to his family.",,,,negative
REurope,@reurope_stock,2019-02-18T18:42:34.000Z,"REurope
@reurope_stock
·
Feb 18, 2019As Fmc Corp $FMC Share Value Declined, Shareholder Bowen Hanes & Co INC Lowered Holding https://reurope.com/2019/02/18/as-fmc-corp-fmc-share-value-declined-shareholder-bowen-hanes-co-inc-lowered-holding/…",,,,negative
FMC Corporation,@FMCCorp,2019-02-18T15:00:52.000Z,"FMC Corporation
@FMCCorp
·
Feb 18, 2019FFA Week is the perfect time to support 
@FFAfoundation
 and empower the future of agriculture. See how your impact can change lives:  
#FFAJUSTONE
0:32
160 views
3
9",,3.0,9.0,neutral
Raju Kapoor,@rajukap,2019-02-18T11:38:43.000Z,"Raju Kapoor
@rajukap
·
Feb 18, 2019Met and discussed with Dr. AD Pathak, Director, and Dr. SN Sushil of Indian institute of #sugarcane campus at Lucknow. 
@FMCCorp
 @CropLifeAsia
 @CropLifeIndia
1
4",,1.0,4.0,neutral
The Lincolnian,@ThisLincolnian,2019-02-18T08:02:57.000Z,"The Lincolnian
@ThisLincolnian
·
Feb 18, 2019Gabelli Weighs in on FMC Corp’s FY2019 Earnings $FMC http://thelincolnianonline.com/?p=2708236",,,,neutral
Community Financial,@CFinancialNews,2019-02-18T08:00:12.000Z,"Community Financial
@CFinancialNews
·
Feb 18, 2019FY2019 EPS Estimates for FMC Corp Boosted by KeyCorp $FMC http://americanbankingnews.com/?p=9559346 #markets",,,,positive
US Banking News,@AmericanBanking,2019-02-18T08:00:12.000Z,"US Banking News
@AmericanBanking
·
Feb 18, 2019FY2019 EPS Estimates for FMC Corp Boosted by KeyCorp $FMC http://americanbankingnews.com/?p=9559346 #stocks",,,,neutral
MarketBeat,@MarketBeatCom,2019-02-18T08:00:11.000Z,"MarketBeat
@MarketBeatCom
·
Feb 18, 2019Brokers Set Expectations for FMC Corp’s FY2019 Earnings $FMC http://zpr.io/gX7tY",,,,neutral
Community Financial,@CFinancialNews,2019-02-18T08:00:08.000Z,"Community Financial
@CFinancialNews
·
Feb 18, 2019Brokers Set Expectations for FMC Corp’s FY2019 Earnings $FMC http://americanbankingnews.com/?p=9559350 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-18T08:00:07.000Z,"US Banking News
@AmericanBanking
·
Feb 18, 2019Brokers Set Expectations for FMC Corp’s FY2019 Earnings $FMC http://americanbankingnews.com/?p=9559350 #stocks",,,,neutral
Community Financial,@CFinancialNews,2019-02-18T08:00:07.000Z,"Community Financial
@CFinancialNews
·
Feb 18, 2019Gabelli Weighs in on FMC Corp’s FY2019 Earnings $FMC http://americanbankingnews.com/?p=9559351 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-18T08:00:06.000Z,"US Banking News
@AmericanBanking
·
Feb 18, 2019Gabelli Weighs in on FMC Corp’s FY2019 Earnings $FMC http://americanbankingnews.com/?p=9559351 #stocks",,,,neutral
PFD Bot,@pfdbot,2019-02-17T22:30:38.000Z,"PFD Bot
@pfdbot
·
Feb 17, 2019Alaskans own 6,856 shares of FMC CORP, worth $477,109. It's from the CHEMICAL sector, based in UNITED STATES.",,,,neutral
Amy O'Shea,@amygoshea,2019-02-17T22:06:01.000Z,"Amy O'Shea
@amygoshea
·
Feb 17, 2019My heart hurts sharing this news. Mike was an amazing man and strong long term contributor to the FMC family. You will be missed 
@mizzouguy
 @FMCAgUS
 @FMCCorp
 @FMCAgCanada
FMC Ag US
@FMCAgUS
·
Feb 15, 2019
On February 12, Mike Harper passed away and agriculture lost one of its greatest advocates, FMC lost the talent and passion of a 39-year employee and many of us lost a friend. Mike was a constant source of energy and his presence, his wit and his smile will be greatly missed.
2
18",2.0,,18.0,neutral
FMC Corporation,@FMCCorp,2019-02-17T13:01:06.000Z,"FMC Corporation
@FMCCorp
·
Feb 17, 2019What is one way that FFA has impacted you? Share your “Just One” story that inspired you to go into Ag and 
@NationalFFA
#FFAJUSTONE
2
10",,2.0,10.0,neutral
The Lincolnian,@ThisLincolnian,2019-02-17T09:11:32.000Z,"The Lincolnian
@ThisLincolnian
·
Feb 17, 2019FMC Corp $FMC to Post FY2023 Earnings of $9.55 Per Share, Gabelli Forecasts http://thelincolnianonline.com/?p=2706159",,,,neutral
